FIPS,State,County,population,hospitalizations_per_case,severe_cases_rate,critical_case_rate,case_fatality_rate
1001,Alabama,Autauga County,55200,0.0691107427536232,0.0485267194565217,0.0205840232971015,0.00817124528985507
1003,Alabama,Baldwin County,208107,0.0817367460008553,0.0556060653509973,0.026130680649858,0.00997018053213011
1005,Alabama,Barbour County,25782,0.0768566441703514,0.0528754433713444,0.0239812007990071,0.00916439221162051
1007,Alabama,Bibb County,22527,0.0728272739379411,0.0506084464864385,0.0222188274515026,0.00854360278776579
1009,Alabama,Blount County,57645,0.0765767022291612,0.0525476011622864,0.0240291010668748,0.00923074264897216
1011,Alabama,Bullock County,10352,0.0737025695517774,0.0515387924072643,0.0221637771445131,0.00798150309119011
1013,Alabama,Butler County,20025,0.0801606491885144,0.0536873572034956,0.0264732919850187,0.0103651845193508
1015,Alabama,Calhoun County,115098,0.0751177952701176,0.0519554842916471,0.0231623109784705,0.00866009035778207
1017,Alabama,Chambers County,33826,0.0803831372317153,0.0548890248329687,0.0254941123987465,0.00981038254597055
1019,Alabama,Cherokee County,25853,0.0870390670328395,0.059322364599853,0.0277167024329865,0.0104556515684833
1021,Alabama,Chilton County,43930,0.0721106760755748,0.0502980448213066,0.0218126312542682,0.00839285727293421
1023,Alabama,Choctaw County,13075,0.0881740726577438,0.0595147900573614,0.0286592826003824,0.0111705835564054
1025,Alabama,Clarke County,24387,0.0795942920408414,0.0541613970558084,0.025432894985033,0.00985060072989708
1027,Alabama,Clay County,13378,0.082779563462401,0.0562279111227388,0.0265516523396621,0.0104105935117357
1029,Alabama,Cleburne County,14938,0.078740058910162,0.0538856908555362,0.0248543680546258,0.00925235908421475
1031,Alabama,Coffee County,51288,0.072532327250039,0.0503326557869287,0.0221996714631103,0.00855377320230853
1033,Alabama,Colbert County,54495,0.0818520047710799,0.0553177838333792,0.0265342209377007,0.0102938999908248
1035,Alabama,Conecuh County,12514,0.0853999520536999,0.0576895266901071,0.0277104253635928,0.010589333546428
1037,Alabama,Coosa County,10855,0.0904376784891755,0.0615364344541686,0.0289012440350069,0.0110929064947029
1039,Alabama,Covington County,37351,0.0846995796631951,0.0563729161468234,0.0283266635163717,0.010939128805119
1041,Alabama,Crenshaw County,13865,0.0791548503425893,0.0540946990263253,0.025060151316264,0.00965547926433466
1043,Alabama,Cullman County,82313,0.0777244906636862,0.0530628014286929,0.0246616892349933,0.00956125763852611
1045,Alabama,Dale County,49255,0.0714687645924272,0.0495939062633235,0.0218748583291036,0.00840788996041011
1047,Alabama,Dallas County,40029,0.0738609757925504,0.0514852839191586,0.0223756918733918,0.00812476854280647
1049,Alabama,DeKalb County,71200,0.0723656320224719,0.0505468880617978,0.0218187439606742,0.00822422471910112
1051,Alabama,Elmore County,81212,0.0695100724030931,0.0493413049549328,0.0201687674481604,0.00764002511944048
1053,Alabama,Escambia County,37328,0.0752733336905272,0.0520693068474068,0.0232040268431205,0.00882266180882983
1055,Alabama,Etowah County,102939,0.078084924081252,0.0535332863151964,0.0245516377660556,0.00927939226143639
