county,date,cases,deaths,positive_patients,suspected_patients,icu_positive,icu_suspected
Los Angeles,2020-04-01,3502,66,739,1332,335,220
San Bernardino,2020-04-01,245,5,95,196,39,52
Orange,2020-04-01,579,11,117,221,50,48
Riverside,2020-04-01,306,11,85,182,29,47
Sacramento,2020-04-01,299,8,53,138,20,33
San Diego,2020-04-01,851,11,168,340,71,32
Ventura,2020-04-01,154,5,22,96,5,23
Santa Clara,2020-04-01,805,33,160,85,77,15
Alameda,2020-04-01,287,8,52,76,27,15
Fresno,2020-04-01,75,0,19,101,5,13
Contra Costa,2020-04-01,267,3,31,42,12,12
San Joaquin,2020-04-01,132,8,25,35,16,11
San Mateo,2020-04-01,354,13,57,35,19,9
Kern,2020-04-01,53,0,15,45,7,9
San Francisco,2020-04-01,432,6,67,66,30,8
Santa Barbara,2020-04-01,103,0,23,23,15,6
Stanislaus,2020-04-01,29,0,25,39,10,6
San Luis Obispo,2020-04-01,69,0,8,10,5,6
Monterey,2020-04-01,47,2,13,16,4,4
Imperial,2020-04-01,25,0,4,15,3,4
Tulare,2020-04-01,43,1,4,12,3,4
Butte,2020-04-01,6,0,5,33,2,4
Yuba,2020-04-01,5,0,2,24,2,4
Nevada,2020-04-01,15,0,36,54,0,4
El Dorado,2020-04-01,14,0,14,8,1,3
Merced,2020-04-01,7,0,3,15,0,3
Humboldt,2020-04-01,19,0,1,9,0,3
Placer,2020-04-01,52,2,25,28,6,2
Solano,2020-04-01,57,0,14,18,5,2
Marin,2020-04-01,87,1,9,19,4,2
Santa Cruz,2020-04-01,44,1,2,12,2,2
Sonoma,2020-04-01,60,1,5,18,1,2
Kings,2020-04-01,3,0,2,6,1,2
Siskiyou,2020-04-01,3,0,0,5,0,2
Yolo,2020-04-01,22,1,3,3,1,1
Shasta,2020-04-01,5,1,1,4,0,1
Napa,2020-04-01,11,0,2,2,0,1
Colusa,2020-04-01,1,0,0,1,0,1
Tehama,2020-04-01,0,0,0,1,0,1
San Benito,2020-04-01,14,1,2,0,2,0
Madera,2020-04-01,17,1,1,3,1,0
Inyo,2020-04-01,8,0,7,89,0,0
Lassen,2020-04-01,0,0,0,7,0,0
Del Norte,2020-04-01,0,0,0,5,0,0
Amador,2020-04-01,1,0,0,3,0,0
Mendocino,2020-04-01,4,0,0,2,0,0
Lake,2020-04-01,0,0,0,2,0,0
Calaveras,2020-04-01,3,0,0,1,0,0
Mono,2020-04-01,12,1,0,0,0,0
Sutter,2020-04-01,9,1,0,0,0,0
Plumas,2020-04-01,1,0,0,0,0,0
Tuolumne,2020-04-01,1,0,0,0,0,0
Mariposa,2020-04-01,0,0,0,0,0,0
Trinity,2020-04-01,0,0,0,0,0,0
Unassigned,2020-04-01,50,1,,,,
Glenn,2020-04-01,2,0,,,,
Alpine,2020-04-01,1,0,,,,
Sierra,2020-04-01,0,0,,,,
Modoc,2020-04-01,,,0,1,0,0
Alameda,2020-04-02,345,10,57,76,29,17
Alpine,2020-04-02,1,0,,,,
Amador,2020-04-02,2,0,0,3,0,0
Butte,2020-04-02,7,0,4,26,2,2
Calaveras,2020-04-02,3,0,0,1,0,0
Colusa,2020-04-02,1,0,0,1,0,1
Contra Costa,2020-04-02,297,3,32,38,13,10
Del Norte,2020-04-02,0,0,0,3,0,0
El Dorado,2020-04-02,16,0,15,12,0,6
Fresno,2020-04-02,92,0,17,74,6,13
Glenn,2020-04-02,2,0,0,0,0,0
Humboldt,2020-04-02,23,0,1,8,0,2
Imperial,2020-04-02,24,0,4,16,3,5
Inyo,2020-04-02,8,0,8,102,0,1
Kern,2020-04-02,74,0,27,77,12,23
Kings,2020-04-02,3,0,2,6,1,1
Lake,2020-04-02,0,0,0,1,0,0
Lassen,2020-04-02,0,0,0,7,0,0
Los Angeles,2020-04-02,4040,79,818,1270,346,193
Madera,2020-04-02,25,1,1,7,1,3
Marin,2020-04-02,102,1,7,16,3,1
Mariposa,2020-04-02,0,0,0,1,0,0
Mendocino,2020-04-02,4,0,0,1,0,0
Merced,2020-04-02,9,0,4,5,0,1
Mono,2020-04-02,16,1,18,2,0,0
Monterey,2020-04-02,50,2,14,14,4,2
Napa,2020-04-02,13,0,1,4,1,1
Nevada,2020-04-02,17,0,38,58,2,1
Orange,2020-04-02,640,12,129,225,67,47
Placer,2020-04-02,72,2,32,15,9,0
Plumas,2020-04-02,1,0,0,0,0,0
Riverside,2020-04-02,438,13,136,181,45,49
Sacramento,2020-04-02,322,9,71,92,24,19
San Benito,2020-04-02,18,1,2,0,2,0
San Bernardino,2020-04-02,335,8,126,185,50,45
San Diego,2020-04-02,968,16,144,343,69,35
San Francisco,2020-04-02,473,6,75,60,32,11
San Joaquin,2020-04-02,148,9,42,42,20,7
San Luis Obispo,2020-04-02,79,0,5,5,4,4
San Mateo,2020-04-02,423,13,62,40,26,4
Santa Barbara,2020-04-02,125,1,26,44,18,10
Santa Clara,2020-04-02,908,38,163,101,69,19
Santa Cruz,2020-04-02,49,1,4,4,3,0
Shasta,2020-04-02,7,1,2,4,1,0
Sierra,2020-04-02,0,0,,,,
Siskiyou,2020-04-02,3,0,0,3,0,2
Solano,2020-04-02,65,0,15,8,7,1
Sonoma,2020-04-02,76,1,8,18,1,0
Stanislaus,2020-04-02,40,0,30,43,11,7
Sutter,2020-04-02,10,1,0,0,,
Tehama,2020-04-02,1,0,0,1,0,1
Trinity,2020-04-02,0,0,0,0,0,0
Tulare,2020-04-02,64,1,4,26,4,5
Tuolumne,2020-04-02,1,0,0,0,0,0
Unassigned,2020-04-02,49,1,,,,
Ventura,2020-04-02,178,5,27,111,7,24
Yolo,2020-04-02,29,1,3,2,2,3
Yuba,2020-04-02,5,0,2,25,2,6
Alameda,2020-04-03,395,11,64,74,32,13
Alpine,2020-04-03,1,0,,,,
Amador,2020-04-03,2,0,0,0,0,0
Butte,2020-04-03,8,0,3,19,2,6
Calaveras,2020-04-03,3,0,0,1,0,0
Colusa,2020-04-03,1,0,1,0,1,0
Contra Costa,2020-04-03,327,5,31,39,15,10
Del Norte,2020-04-03,1,0,0,2,0,0
El Dorado,2020-04-03,16,0,15,9,0,4
Fresno,2020-04-03,98,1,15,81,7,16
Glenn,2020-04-03,2,0,0,0,0,0
Humboldt,2020-04-03,34,0,1,7,0,0
Imperial,2020-04-03,35,0,9,7,7,0
Inyo,2020-04-03,10,0,8,102,1,2
Kern,2020-04-03,87,1,35,73,12,16
Kings,2020-04-03,3,0,0,3,1,0
Lake,2020-04-03,0,0,0,2,0,1
Lassen,2020-04-03,0,0,0,3,0,0
Los Angeles,2020-04-03,4566,91,962,1239,422,209
Madera,2020-04-03,28,2,0,5,0,1
Marin,2020-04-03,106,6,6,16,3,5
Mariposa,2020-04-03,0,0,0,2,0,0
Mendocino,2020-04-03,4,0,0,5,0,1
Merced,2020-04-03,9,0,4,5,1,1
Modoc,2020-04-03,0,0,0,0,0,0
Mono,2020-04-03,18,1,18,2,0,0
Monterey,2020-04-03,58,2,16,18,3,1
Napa,2020-04-03,13,1,1,9,0,1
Nevada,2020-04-03,19,1,2,4,2,1
Orange,2020-04-03,713,13,131,182,66,36
Placer,2020-04-03,76,2,21,23,10,1
Plumas,2020-04-03,2,0,0,0,0,0
Riverside,2020-04-03,540,14,105,182,44,59
Sacramento,2020-04-03,363,11,77,76,28,17
San Benito,2020-04-03,22,1,2,0,2,0
San Bernardino,2020-04-03,356,11,118,204,44,53
San Diego,2020-04-03,1114,17,171,308,84,28
San Francisco,2020-04-03,506,6,80,71,39,8
San Joaquin,2020-04-03,162,10,41,38,18,8
San Luis Obispo,2020-04-03,82,0,4,5,3,2
San Mateo,2020-04-03,474,13,65,39,26,4
Santa Barbara,2020-04-03,154,1,27,29,18,4
Santa Clara,2020-04-03,983,39,164,83,71,17
Santa Cruz,2020-04-03,52,1,4,8,3,0
Shasta,2020-04-03,10,1,2,9,1,3
Sierra,2020-04-03,0,0,,,,
Siskiyou,2020-04-03,3,0,0,3,0,1
Solano,2020-04-03,72,1,16,21,7,5
Sonoma,2020-04-03,84,1,6,24,2,3
Stanislaus,2020-04-03,48,0,28,45,12,8
Sutter,2020-04-03,12,1,0,0,,
Tehama,2020-04-03,1,0,0,0,0,0
Trinity,2020-04-03,0,0,0,0,0,0
Tulare,2020-04-03,73,3,6,15,5,2
Tuolumne,2020-04-03,1,0,0,0,0,0
Unassigned,2020-04-03,54,1,,,,
Ventura,2020-04-03,186,6,22,116,6,28
Yolo,2020-04-03,33,1,2,7,3,6
Yuba,2020-04-03,6,0,2,12,2,2
Alameda,2020-04-04,468,12,60,95,35,18
Alpine,2020-04-04,1,0,,,,
Amador,2020-04-04,2,0,0,0,0,0
Butte,2020-04-04,10,0,3,14,1,4
Calaveras,2020-04-04,3,0,0,1,0,0
Colusa,2020-04-04,1,0,1,0,1,0
Contra Costa,2020-04-04,382,5,30,47,12,7
Del Norte,2020-04-04,1,0,0,2,0,0
El Dorado,2020-04-04,19,0,15,9,0,3
Fresno,2020-04-04,102,1,14,93,7,20
Glenn,2020-04-04,2,0,0,0,0,0
Humboldt,2020-04-04,29,0,1,4,0,0
Imperial,2020-04-04,42,1,9,10,5,2
Inyo,2020-04-04,10,0,8,106,1,1
Kern,2020-04-04,103,2,33,54,14,11
Kings,2020-04-04,3,0,1,9,1,0
Lake,2020-04-04,0,0,0,4,0,1
Lassen,2020-04-04,0,0,0,0,0,0
Los Angeles,2020-04-04,5275,117,1007,1190,449,181
Madera,2020-04-04,27,2,0,4,0,0
Marin,2020-04-04,111,6,5,16,3,5
Mariposa,2020-04-04,0,0,0,2,0,0
Mendocino,2020-04-04,4,0,0,3,0,1
Merced,2020-04-04,11,0,5,14,1,1
Modoc,2020-04-04,0,0,0,0,0,0
Mono,2020-04-04,18,1,20,2,0,0
Monterey,2020-04-04,61,2,16,25,4,2
Napa,2020-04-04,15,2,1,8,0,1
Nevada,2020-04-04,19,1,2,6,2,2
Orange,2020-04-04,781,15,143,213,70,45
Placer,2020-04-04,87,2,23,14,10,1
Plumas,2020-04-04,2,0,0,0,0,0
Riverside,2020-04-04,652,15,126,186,39,56
Sacramento,2020-04-04,393,11,69,76,25,18
San Benito,2020-04-04,22,1,2,3,2,0
San Bernardino,2020-04-04,373,13,138,254,51,66
San Diego,2020-04-04,1211,18,177,218,86,19
San Francisco,2020-04-04,537,6,80,65,37,7
San Joaquin,2020-04-04,171,10,43,30,16,7
San Luis Obispo,2020-04-04,82,0,4,6,3,3
San Mateo,2020-04-04,520,17,66,19,25,6
Santa Barbara,2020-04-04,167,1,28,34,18,2
Santa Clara,2020-04-04,1045,39,159,79,72,19
Santa Cruz,2020-04-04,56,1,4,6,3,0
Shasta,2020-04-04,11,2,2,10,4,0
Sierra,2020-04-04,0,0,,,,
Siskiyou,2020-04-04,3,0,0,2,0,1
Solano,2020-04-04,79,1,16,19,7,2
Sonoma,2020-04-04,88,1,7,16,2,6
Stanislaus,2020-04-04,51,0,30,45,12,9
Sutter,2020-04-04,14,1,0,0,,
Tehama,2020-04-04,1,0,0,1,0,0
Trinity,2020-04-04,0,0,0,0,0,0
Tulare,2020-04-04,79,4,8,20,5,1
Tuolumne,2020-04-04,1,0,0,1,0,1
Unassigned,2020-04-04,52,1,,,,
Ventura,2020-04-04,194,6,21,127,7,25
Yolo,2020-04-04,40,2,4,5,3,3
Yuba,2020-04-04,7,0,2,16,2,2
Alameda,2020-04-05,475,12,72,87,39,13
Alpine,2020-04-05,1,0,,,,
Amador,2020-04-05,2,0,0,0,0,0
Butte,2020-04-05,10,0,2,16,1,6
Calaveras,2020-04-05,3,0,0,0,0,0
Colusa,2020-04-05,1,0,1,0,1,0
Contra Costa,2020-04-05,415,6,29,35,15,10
Del Norte,2020-04-05,1,0,0,1,0,0
El Dorado,2020-04-05,19,0,16,6,0,3
Fresno,2020-04-05,102,1,16,81,8,15
Glenn,2020-04-05,2,0,0,0,0,0
Humboldt,2020-04-05,29,0,2,3,0,0
Imperial,2020-04-05,42,1,9,9,8,1
Inyo,2020-04-05,10,0,9,106,1,0
Kern,2020-04-05,109,2,23,27,12,4
Kings,2020-04-05,4,0,3,1,2,0
Lake,2020-04-05,0,0,0,4,0,2
Lassen,2020-04-05,0,0,0,0,0,0
Los Angeles,2020-04-05,5892,130,1094,1082,473,166
Madera,2020-04-05,27,2,0,1,0,0
Marin,2020-04-05,113,6,5,15,3,5
Mariposa,2020-04-05,0,0,0,2,0,0
Mendocino,2020-04-05,4,0,0,3,0,2
Merced,2020-04-05,16,0,15,10,1,3
Modoc,2020-04-05,0,0,0,0,0,0
Mono,2020-04-05,18,1,20,2,0,0
Monterey,2020-04-05,61,2,16,15,4,0
Napa,2020-04-05,15,2,1,8,0,1
Nevada,2020-04-05,19,1,2,4,2,1
Orange,2020-04-05,820,15,144,221,70,46
Placer,2020-04-05,86,3,23,13,10,1
Plumas,2020-04-05,2,0,0,0,0,0
Riverside,2020-04-05,669,17,129,207,47,60
Sacramento,2020-04-05,393,11,64,78,23,26
San Benito,2020-04-05,22,1,3,0,2,0
San Bernardino,2020-04-05,375,13,146,240,59,54
San Diego,2020-04-05,1328,19,179,220,89,31
San Francisco,2020-04-05,559,6,79,68,37,11
San Joaquin,2020-04-05,179,10,46,24,17,4
San Luis Obispo,2020-04-05,83,1,2,11,2,9
San Mateo,2020-04-05,528,19,69,15,24,6
Santa Barbara,2020-04-05,171,1,31,26,18,2
Santa Clara,2020-04-05,1052,42,166,69,68,18
Santa Cruz,2020-04-05,59,1,5,12,4,4
Shasta,2020-04-05,11,2,8,11,4,0
Sierra,2020-04-05,0,0,,,,
Siskiyou,2020-04-05,3,0,0,2,0,2
Solano,2020-04-05,78,1,15,17,6,24
