state,date,county,hospitalizedCurrently,hospitalizedCumulative
CA,2020-03-24,Los Angeles,,119
CA,2020-03-25,Los Angeles,,160
CA,2020-03-26,Los Angeles,,253
CA,2020-03-28,Los Angeles,,398
CA,2020-03-29,Los Angeles,,453
CA,2020-03-30,Los Angeles,,492
CA,2020-04-01,Los Angeles,,594
CA,2020-04-02,Los Angeles,,879
CA,2020-04-03,Los Angeles,,1018
CA,2020-04-04,Los Angeles,,1168
CA,2020-04-05,Los Angeles,,1257
CA,2020-04-07,Los Angeles,,1366
CA,2020-04-08,Los Angeles,,1510
CA,2020-04-10,Los Angeles,,2043
CA,2020-03-23,Santa Clara,125,
CA,2020-03-24,Santa Clara,137,
CA,2020-03-30,Santa Clara,172,
CA,2020-03-31,Santa Clara,198,
CA,2020-04-01,Santa Clara,245,
CA,2020-04-02,Santa Clara,287,
CA,2020-04-03,Santa Clara,268,
CA,2020-04-04,Santa Clara,266,
NY,2020-03-02,New York City,,13
NY,2020-03-03,New York City,,23
NY,2020-03-04,New York City,,36
NY,2020-03-05,New York City,,54
NY,2020-03-06,New York City,,71
NY,2020-03-07,New York City,,80
NY,2020-03-08,New York City,,95
NY,2020-03-09,New York City,,130
NY,2020-03-10,New York City,,179
NY,2020-03-11,New York City,,252
NY,2020-03-12,New York City,,327
NY,2020-03-13,New York City,,465
NY,2020-03-14,New York City,,616
NY,2020-03-15,New York City,,802
NY,2020-03-16,New York City,,1107
NY,2020-03-17,New York City,,1452
NY,2020-03-18,New York City,,1890
NY,2020-03-19,New York City,,2407
NY,2020-03-20,New York City,,3016
NY,2020-03-21,New York City,,3663
NY,2020-03-22,New York City,,4350
NY,2020-03-23,New York City,,5331
NY,2020-03-24,New York City,,6380
NY,2020-03-25,New York City,,7595
NY,2020-03-26,New York City,,8914
NY,2020-03-27,New York City,,10197
NY,2020-03-28,New York City,,11424
NY,2020-03-29,New York City,,12714
NY,2020-03-30,New York City,,14276
NY,2020-03-31,New York City,,15713
NY,2020-04-01,New York City,,17152
NY,2020-04-02,New York City,,18769
NY,2020-04-03,New York City,,20396
NY,2020-04-04,New York City,,21736
NY,2020-04-05,New York City,,23026
NY,2020-04-06,New York City,,24420
NY,2020-04-07,New York City,,25333
NY,2020-04-08,New York City,,25701
NY,2020-04-09,New York City,,25704
NY,2020-03-22,Suffolk,89,
NY,2020-03-23,Suffolk,116,
NY,2020-03-24,Suffolk,163,
NY,2020-03-25,Suffolk,206,
NY,2020-03-26,Suffolk,287,
NY,2020-03-27,Suffolk,331,
NY,2020-03-28,Suffolk,409,
NY,2020-03-29,Suffolk,502,
NY,2020-03-30,Suffolk,601,
NY,2020-03-31,Suffolk,708,
NY,2020-04-01,Suffolk,897,
NY,2020-04-02,Suffolk,1057,
NY,2020-04-03,Suffolk,1298,
NY,2020-04-04,Suffolk,1416,
NY,2020-04-05,Suffolk,1435,
NY,2020-04-06,Suffolk,1463,
NY,2020-04-07,Suffolk,1517,
NY,2020-04-08,Suffolk,1585,
FL,2020-03-05,Alachua,,1
FL,2020-03-09,Alachua,,2
FL,2020-03-10,Alachua,,3
FL,2020-03-11,Alachua,,5
FL,2020-03-12,Alachua,,6
FL,2020-03-13,Alachua,,7
FL,2020-03-14,Alachua,,8
FL,2020-03-20,Alachua,,10
FL,2020-03-21,Alachua,,11
FL,2020-03-23,Alachua,,12
FL,2020-03-24,Alachua,,13
FL,2020-03-26,Alachua,,15
FL,2020-03-27,Alachua,,16
FL,2020-03-28,Alachua,,17
FL,2020-03-31,Alachua,,18
FL,2020-04-02,Alachua,,19
