"","FIPS","num_acute_beds"
"1",1001,44
"2",1003,95
"3",1005,0
"4",1007,35
"5",1009,19
"6",1011,0
"7",1013,0
"8",1015,65
"9",1019,45
"10",1021,30
"11",1023,0
"12",1025,0
"13",1027,0
"14",1031,78
"15",1033,86
"16",1035,0
"17",1039,40
"18",1041,0
"19",1043,113
"20",1045,0
"21",1047,94
"22",1049,0
"23",1051,0
"24",1053,0
"25",1055,140
"26",1057,35
"27",1059,22
"28",1061,0
"29",1063,0
"30",1065,0
"31",1069,105
"32",1071,0
"33",1073,1578
"34",1077,143
"35",1079,0
"36",1081,226
"37",1083,47
"38",1089,558
"39",1091,0
"40",1093,32
"41",1095,152
"42",1097,248
"43",1099,0
"44",1101,456
"45",1103,0
"46",1107,0
"47",1109,0
"48",1111,15
"49",1113,27
"50",1115,34
"51",1117,138
"52",1119,0
"53",1121,0
"54",1123,25
"55",1125,337
"56",1127,80
"57",1129,0
"58",1133,0
"59",2020,253
"60",2050,18
"61",2070,0
"62",2090,57
"63",2110,0
"64",2122,30
"65",2130,16
"66",2150,0
"67",2170,0
"68",2180,0
"69",2185,0
"70",2188,0
"71",2195,0
"72",2220,0
"73",2261,13
"74",2275,0
"75",4001,0
"76",4003,108
"77",4005,171
"78",4007,32
"79",4009,36
"80",4012,0
"81",4013,4298
"82",4015,189
"83",4017,77
"84",4019,1579
"85",4021,125
"86",4023,16
"87",4025,209
"88",4027,296
"89",5001,59
"90",5003,15
"91",5005,124
"92",5007,177
"93",5009,69
"94",5011,19
"95",5015,40
"96",5017,25
"97",5019,17
"98",5021,25
"99",5023,25
"100",5027,24
"101",5029,20
"102",5031,379
"103",5033,36
"104",5037,15
"105",5039,22
"106",5041,25
"107",5043,34
"108",5045,184
"109",5047,25
"110",5049,25
"111",5051,319
"112",5055,82
"113",5057,59
"114",5059,42
"115",5061,18
"116",5063,136
"117",5065,15
"118",5069,139
"119",5071,41
"120",5075,25
"121",5081,25
"122",5083,41
"123",5091,0
"124",5093,57
"125",5103,32
"126",5107,79
"127",5113,25
"128",5115,0
"129",5119,1267
"130",5121,19
"131",5123,29
"132",5125,60
"133",5127,24
"134",5131,415
"135",5137,25
"136",5139,40
"137",5141,25
"138",5143,435
"139",5145,283
"140",5149,30
"141",6001,898
"142",6005,0
"143",6007,290
"144",6009,25
"145",6013,698
"146",6015,0
"147",6017,118
"148",6019,859
"149",6021,0
"150",6023,126
"151",6025,48
"152",6027,0
"153",6029,672
"154",6031,0
"155",6033,17
"156",6035,20
"157",6037,8967
"158",6039,73
"159",6041,296
"160",6043,0
"161",6045,52
"162",6047,164
"163",6049,4
