FIPS,State,County,age_decade,population_in_age_group,hospitalizations_per_case,severe_cases_rate,critical_case_rate,case_fatality_rate
1001,Alabama,Autauga County,0-9,6787,0,0,0,0
1003,Alabama,Baldwin County,0-9,24757,0,0,0,0
1005,Alabama,Barbour County,0-9,2732,0,0,0,0
1007,Alabama,Bibb County,0-9,2456,0,0,0,0
1009,Alabama,Blount County,0-9,7095,0,0,0,0
1011,Alabama,Bullock County,0-9,1198,0,0,0,0
1013,Alabama,Butler County,0-9,2351,0,0,0,0
1015,Alabama,Calhoun County,0-9,13141,0,0,0,0
1017,Alabama,Chambers County,0-9,3869,0,0,0,0
1019,Alabama,Cherokee County,0-9,2554,0,0,0,0
1021,Alabama,Chilton County,0-9,5652,0,0,0,0
1023,Alabama,Choctaw County,0-9,1324,0,0,0,0
1025,Alabama,Clarke County,0-9,2704,0,0,0,0
1027,Alabama,Clay County,0-9,1420,0,0,0,0
1029,Alabama,Cleburne County,0-9,1829,0,0,0,0
1031,Alabama,Coffee County,0-9,6605,0,0,0,0
1033,Alabama,Colbert County,0-9,6248,0,0,0,0
1035,Alabama,Conecuh County,0-9,1367,0,0,0,0
1037,Alabama,Coosa County,0-9,928,0,0,0,0
1039,Alabama,Covington County,0-9,4438,0,0,0,0
1041,Alabama,Crenshaw County,0-9,1682,0,0,0,0
1043,Alabama,Cullman County,0-9,10276,0,0,0,0
1045,Alabama,Dale County,0-9,6386,0,0,0,0
1047,Alabama,Dallas County,0-9,4767,0,0,0,0
1049,Alabama,DeKalb County,0-9,8929,0,0,0,0
1051,Alabama,Elmore County,0-9,9635,0,0,0,0
1053,Alabama,Escambia County,0-9,4526,0,0,0,0
1055,Alabama,Etowah County,0-9,11836,0,0,0,0
1057,Alabama,Fayette County,0-9,1878,0,0,0,0
1059,Alabama,Franklin County,0-9,4182,0,0,0,0
1061,Alabama,Geneva County,0-9,2981,0,0,0,0
1063,Alabama,Greene County,0-9,993,0,0,0,0
1065,Alabama,Hale County,0-9,1888,0,0,0,0
1067,Alabama,Henry County,0-9,1841,0,0,0,0
1069,Alabama,Houston County,0-9,12878,0,0,0,0
1071,Alabama,Jackson County,0-9,5632,0,0,0,0
1073,Alabama,Jefferson County,0-9,83866,0,0,0,0
1075,Alabama,Lamar County,0-9,1498,0,0,0,0
1077,Alabama,Lauderdale County,0-9,9570,0,0,0,0
1079,Alabama,Lawrence County,0-9,3767,0,0,0,0
1081,Alabama,Lee County,0-9,19180,0,0,0,0
1083,Alabama,Limestone County,0-9,11361,0,0,0,0
1085,Alabama,Lowndes County,0-9,1276,0,0,0,0
1087,Alabama,Macon County,0-9,1694,0,0,0,0
1089,Alabama,Madison County,0-9,43078,0,0,0,0
1091,Alabama,Marengo County,0-9,2364,0,0,0,0
1093,Alabama,Marion County,0-9,3232,0,0,0,0
1095,Alabama,Marshall County,0-9,13202,0,0,0,0
1097,Alabama,Mobile County,0-9,53407,0,0,0,0
1099,Alabama,Monroe County,0-9,2298,0,0,0,0
1101,Alabama,Montgomery County,0-9,29734,0,0,0,0
1103,Alabama,Morgan County,0-9,14531,0,0,0,0
1105,Alabama,Perry County,0-9,1032,0,0,0,0
1107,Alabama,Pickens County,0-9,2107,0,0,0,0
1109,Alabama,Pike County,0-9,3580,0,0,0,0
1111,Alabama,Randolph County,0-9,2630,0,0,0,0
1113,Alabama,Russell County,0-9,7989,0,0,0,0
1115,Alabama,St. Clair County,0-9,10885,0,0,0,0
1117,Alabama,Shelby County,0-9,26169,0,0,0,0
1119,Alabama,Sumter County,0-9,1343,0,0,0,0
1121,Alabama,Talladega County,0-9,8787,0,0,0,0
1123,Alabama,Tallapoosa County,0-9,4573,0,0,0,0
1125,Alabama,Tuscaloosa County,0-9,24770,0,0,0,0
1127,Alabama,Walker County,0-9,7777,0,0,0,0
1129,Alabama,Washington County,0-9,1801,0,0,0,0
1131,Alabama,Wilcox County,0-9,1314,0,0,0,0
1133,Alabama,Winston County,0-9,2523,0,0,0,0
2013,Alaska,Aleutians East Borough,0-9,168,0,0,0,0
2016,Alaska,Aleutians West Census Area,0-9,364,0,0,0,0
2020,Alaska,Anchorage Municipality,0-9,40841,0,0,0,0
2050,Alaska,Bethel Census Area,0-9,3920,0,0,0,0
2060,Alaska,Bristol Bay Borough,0-9,111,0,0,0,0
2068,Alaska,Denali Borough,0-9,219,0,0,0,0
2070,Alaska,Dillingham Census Area,0-9,980,0,0,0,0
2090,Alaska,Fairbanks North Star Borough,0-9,14394,0,0,0,0
2100,Alaska,Haines Borough,0-9,200,0,0,0,0
2105,Alaska,Hoonah-Angoon Census Area,0-9,217,0,0,0,0
2110,Alaska,Juneau City and Borough,0-9,3731,0,0,0,0
2122,Alaska,Kenai Peninsula Borough,0-9,7285,0,0,0,0
2130,Alaska,Ketchikan Gateway Borough,0-9,1695,0,0,0,0
2150,Alaska,Kodiak Island Borough,0-9,2003,0,0,0,0
2158,Alaska,Kusilvak Census Area,0-9,2114,0,0,0,0
2164,Alaska,Lake and Peninsula Borough,0-9,274,0,0,0,0
2170,Alaska,Matanuska-Susitna Borough,0-9,15714,0,0,0,0
2180,Alaska,Nome Census Area,0-9,2063,0,0,0,0
2185,Alaska,North Slope Borough,0-9,1568,0,0,0,0
2188,Alaska,Northwest Arctic Borough,0-9,1637,0,0,0,0
2195,Alaska,Petersburg Borough,0-9,402,0,0,0,0
2198,Alaska,Prince of Wales-Hyder Census Area,0-9,807,0,0,0,0
2220,Alaska,Sitka City and Borough,0-9,952,0,0,0,0
2230,Alaska,Skagway Municipality,0-9,117,0,0,0,0
2240,Alaska,Southeast Fairbanks Census Area,0-9,1013,0,0,0,0
2261,Alaska,Valdez-Cordova Census Area,0-9,1198,0,0,0,0
2275,Alaska,Wrangell City and Borough,0-9,270,0,0,0,0
2282,Alaska,Yakutat City and Borough,0-9,65,0,0,0,0
2290,Alaska,Yukon-Koyukuk Census Area,0-9,849,0,0,0,0
4001,Arizona,Apache County,0-9,10256,0,0,0,0
4003,Arizona,Cochise County,0-9,14894,0,0,0,0
4005,Arizona,Coconino County,0-9,16059,0,0,0,0
4007,Arizona,Gila County,0-9,6117,0,0,0,0
4009,Arizona,Graham County,0-9,5570,0,0,0,0
4011,Arizona,Greenlee County,0-9,1468,0,0,0,0
4012,Arizona,La Paz County,0-9,1934,0,0,0,0
4013,Arizona,Maricopa County,0-9,568892,0,0,0,0
4015,Arizona,Mohave County,0-9,18723,0,0,0,0
4017,Arizona,Navajo County,0-9,15926,0,0,0,0
4019,Arizona,Pima County,0-9,117940,0,0,0,0
4021,Arizona,Pinal County,0-9,53671,0,0,0,0
4023,Arizona,Santa Cruz County,0-9,6618,0,0,0,0
4025,Arizona,Yavapai County,0-9,19657,0,0,0,0
4027,Arizona,Yuma County,0-9,29937,0,0,0,0
5001,Arkansas,Arkansas County,0-9,2342,0,0,0,0
5003,Arkansas,Ashley County,0-9,2521,0,0,0,0
5005,Arkansas,Baxter County,0-9,3854,0,0,0,0
5007,Arkansas,Benton County,0-9,38930,0,0,0,0
5009,Arkansas,Boone County,0-9,4704,0,0,0,0
5011,Arkansas,Bradley County,0-9,1418,0,0,0,0
5013,Arkansas,Calhoun County,0-9,521,0,0,0,0
5015,Arkansas,Carroll County,0-9,3267,0,0,0,0
5017,Arkansas,Chicot County,0-9,1262,0,0,0,0
5019,Arkansas,Clark County,0-9,2292,0,0,0,0
5021,Arkansas,Clay County,0-9,1772,0,0,0,0
5023,Arkansas,Cleburne County,0-9,2423,0,0,0,0
5025,Arkansas,Cleveland County,0-9,851,0,0,0,0
5027,Arkansas,Columbia County,0-9,2708,0,0,0,0
5029,Arkansas,Conway County,0-9,2567,0,0,0,0
5031,Arkansas,Craighead County,0-9,15150,0,0,0,0
5033,Arkansas,Crawford County,0-9,8198,0,0,0,0
5035,Arkansas,Crittenden County,0-9,7217,0,0,0,0
5037,Arkansas,Cross County,0-9,2105,0,0,0,0
5039,Arkansas,Dallas County,0-9,785,0,0,0,0
5041,Arkansas,Desha County,0-9,1603,0,0,0,0
5043,Arkansas,Drew County,0-9,2141,0,0,0,0
5045,Arkansas,Faulkner County,0-9,15532,0,0,0,0
5047,Arkansas,Franklin County,0-9,2096,0,0,0,0
5049,Arkansas,Fulton County,0-9,1257,0,0,0,0
5051,Arkansas,Garland County,0-9,10806,0,0,0,0
5053,Arkansas,Grant County,0-9,2099,0,0,0,0
5055,Arkansas,Greene County,0-9,6048,0,0,0,0
5057,Arkansas,Hempstead County,0-9,3196,0,0,0,0
5059,Arkansas,Hot Spring County,0-9,3560,0,0,0,0
5061,Arkansas,Howard County,0-9,1910,0,0,0,0
5063,Arkansas,Independence County,0-9,4962,0,0,0,0
5065,Arkansas,Izard County,0-9,1247,0,0,0,0
5067,Arkansas,Jackson County,0-9,1863,0,0,0,0
5069,Arkansas,Jefferson County,0-9,8180,0,0,0,0
5071,Arkansas,Johnson County,0-9,3645,0,0,0,0
5073,Arkansas,Lafayette County,0-9,648,0,0,0,0
5075,Arkansas,Lawrence County,0-9,1930,0,0,0,0
5077,Arkansas,Lee County,0-9,888,0,0,0,0
5079,Arkansas,Lincoln County,0-9,1146,0,0,0,0
5081,Arkansas,Little River County,0-9,1475,0,0,0,0
5083,Arkansas,Logan County,0-9,2487,0,0,0,0
5085,Arkansas,Lonoke County,0-9,10215,0,0,0,0
5087,Arkansas,Madison County,0-9,2112,0,0,0,0
5089,Arkansas,Marion County,0-9,1687,0,0,0,0
5091,Arkansas,Miller County,0-9,5774,0,0,0,0
5093,Arkansas,Mississippi County,0-9,5798,0,0,0,0
5095,Arkansas,Monroe County,0-9,850,0,0,0,0
5097,Arkansas,Montgomery County,0-9,834,0,0,0,0
5099,Arkansas,Nevada County,0-9,1022,0,0,0,0
5101,Arkansas,Newton County,0-9,748,0,0,0,0
5103,Arkansas,Ouachita County,0-9,2799,0,0,0,0
5105,Arkansas,Perry County,0-9,1229,0,0,0,0
5107,Arkansas,Phillips County,0-9,2606,0,0,0,0
5109,Arkansas,Pike County,0-9,1201,0,0,0,0
5111,Arkansas,Poinsett County,0-9,3194,0,0,0,0
5113,Arkansas,Polk County,0-9,2416,0,0,0,0
5115,Arkansas,Pope County,0-9,8000,0,0,0,0
5117,Arkansas,Prairie County,0-9,874,0,0,0,0
5119,Arkansas,Pulaski County,0-9,51510,0,0,0,0
5121,Arkansas,Randolph County,0-9,2335,0,0,0,0
5123,Arkansas,St. Francis County,0-9,3021,0,0,0,0
5125,Arkansas,Saline County,0-9,14783,0,0,0,0
5127,Arkansas,Scott County,0-9,1242,0,0,0,0
5129,Arkansas,Searcy County,0-9,866,0,0,0,0
5131,Arkansas,Sebastian County,0-9,16636,0,0,0,0
5133,Arkansas,Sevier County,0-9,2726,0,0,0,0
5135,Arkansas,Sharp County,0-9,1855,0,0,0,0
5137,Arkansas,Stone County,0-9,1236,0,0,0,0
5139,Arkansas,Union County,0-9,5171,0,0,0,0
5141,Arkansas,Van Buren County,0-9,1677,0,0,0,0
5143,Arkansas,Washington County,0-9,32313,0,0,0,0
5145,Arkansas,White County,0-9,9685,0,0,0,0
5147,Arkansas,Woodruff County,0-9,781,0,0,0,0
5149,Arkansas,Yell County,0-9,2825,0,0,0,0
6001,California,Alameda County,0-9,192141,0,0,0,0
6003,California,Alpine County,0-9,80,0,0,0,0
6005,California,Amador County,0-9,3202,0,0,0,0
6007,California,Butte County,0-9,25535,0,0,0,0
6009,California,Calaveras County,0-9,3978,0,0,0,0
6011,California,Colusa County,0-9,3161,0,0,0,0
6013,California,Contra Costa County,0-9,135747,0,0,0,0
6015,California,Del Norte County,0-9,3219,0,0,0,0
6017,California,El Dorado County,0-9,18868,0,0,0,0
6019,California,Fresno County,0-9,157876,0,0,0,0
6021,California,Glenn County,0-9,4094,0,0,0,0
6023,California,Humboldt County,0-9,14460,0,0,0,0
6025,California,Imperial County,0-9,29512,0,0,0,0
6027,California,Inyo County,0-9,2094,0,0,0,0
6029,California,Kern County,0-9,143957,0,0,0,0
6031,California,Kings County,0-9,23256,0,0,0,0
6033,California,Lake County,0-9,7550,0,0,0,0
6035,California,Lassen County,0-9,2987,0,0,0,0
6037,California,Los Angeles County,0-9,1208253,0,0,0,0
6039,California,Madera County,0-9,24084,0,0,0,0
6041,California,Marin County,0-9,25636,0,0,0,0
6043,California,Mariposa County,0-9,1536,0,0,0,0
6045,California,Mendocino County,0-9,10365,0,0,0,0
6047,California,Merced County,0-9,43740,0,0,0,0
6049,California,Modoc County,0-9,932,0,0,0,0
6051,California,Mono County,0-9,1393,0,0,0,0
6053,California,Monterey County,0-9,63650,0,0,0,0
6055,California,Napa County,0-9,14850,0,0,0,0
6057,California,Nevada County,0-9,8919,0,0,0,0
6059,California,Orange County,0-9,375647,0,0,0,0
6061,California,Placer County,0-9,45164,0,0,0,0
6063,California,Plumas County,0-9,1690,0,0,0,0
6065,California,Riverside County,0-9,328198,0,0,0,0
6067,California,Sacramento County,0-9,199957,0,0,0,0
6069,California,San Benito County,0-9,8382,0,0,0,0
6071,California,San Bernardino County,0-9,313371,0,0,0,0
6073,California,San Diego County,0-9,409094,0,0,0,0
6075,California,San Francisco County,0-9,72007,0,0,0,0
6077,California,San Joaquin County,0-9,110359,0,0,0,0
6079,California,San Luis Obispo County,0-9,27047,0,0,0,0
6081,California,San Mateo County,0-9,87183,0,0,0,0
6083,California,Santa Barbara County,0-9,55640,0,0,0,0
6085,California,Santa Clara County,0-9,231605,0,0,0,0
6087,California,Santa Cruz County,0-9,28639,0,0,0,0
6089,California,Shasta County,0-9,21206,0,0,0,0
6091,California,Sierra County,0-9,272,0,0,0,0
6093,California,Siskiyou County,0-9,4781,0,0,0,0
6095,California,Solano County,0-9,54344,0,0,0,0
6097,California,Sonoma County,0-9,51841,0,0,0,0
6099,California,Stanislaus County,0-9,81339,0,0,0,0
6101,California,Sutter County,0-9,13487,0,0,0,0
6103,California,Tehama County,0-9,8320,0,0,0,0
6105,California,Trinity County,0-9,1124,0,0,0,0
6107,California,Tulare County,0-9,78108,0,0,0,0
6109,California,Tuolumne County,0-9,4951,0,0,0,0
6111,California,Ventura County,0-9,103676,0,0,0,0
6113,California,Yolo County,0-9,25266,0,0,0,0
6115,California,Yuba County,0-9,12429,0,0,0,0
8001,Colorado,Adams County,0-9,73891,0,0,0,0
