ID,YEAR,OTHIC,MSICBD,CICBD,OTHICBD,FCOUNTY
6030010,2018,,,,,68020
6040001,2018,,,,,72145
6040002,2018,,,,,72127
6040004,2018,,,,,72025
6040005,2018,,8,0,0,72005
6040006,2018,,,,,72127
6040007,2018,,,,,72091
6040008,2018,,,,,72125
6040009,2018,,,,,72127
6040011,2018,,0,0,8,72099
6040012,2018,,,,,72113
6040020,2018,,,,,72013
6040030,2018,,,,,72013
6040050,2018,,,,,72127
6040054,2018,,,,,72021
6040055,2018,,,,,72021
6040070,2018,,,,,72081
6040080,2018,,,,,72035
6040090,2018,,,,,72127
6040110,2018,,,,,72053
6040115,2018,,,,,72021
6040129,2018,,,,,72091
6040145,2018,,,,,72057
6040155,2018,,34,8,0,72127
6040157,2018,,,,,72127
6040160,2018,,,,,72069
6040165,2018,,,,,72069
6040170,2018,,,,,72069
6040175,2018,,,,,72153
6040192,2018,,,,,72009
6040215,2018,,,,,72097
6040220,2018,,,,,72097
6040230,2018,,,,,72113
6040250,2018,,,,,72113
6040260,2018,,,,,72113
6040290,2018,,,,,72097
6040294,2018,,,,,72021
6040300,2018,,,,,72127
6040325,2018,,,,,72091
6040345,2018,,,,,72125
6040349,2018,,,,,72113
6040369,2018,,,,,72023
6040370,2018,,6,0,0,72127
6040374,2018,,,,,72061
6040377,2018,,,,,72127
6040382,2018,,,,,72141
6040391,2018,,,,,72025
6040395,2018,,,,,72127
6040396,2018,,,,,72097
6040397,2018,,,,,72113
6040400,2018,,,,,72127
6040405,2018,,,,,72127
6040420,2018,,,,,72127
6040425,2018,,,,,72031
6040432,2018,,,,,72127
6040435,2018,,,,,72127
6040444,2018,,,,,72127
6040445,2018,,,,,72127
6040448,2018,,,,,72127
6040475,2018,,,,,72041
6040500,2018,,,,,72127
6048006,2018,,,,,72053
6048007,2018,,,,,72009
6048008,2018,,,,,72127
6048009,2018,,,,,72099
6050010,2018,,,,,78030
6050015,2018,,,,,78010
6060015,2018,,,,,66010
6060020,2018,,,,,66010
6060346,2018,,,,,66010
6070010,2018,,,,,60050
6080001,2018,,,,,69110
6110002,2018,,0,0,0,23019
6110003,2018,,11,0,0,23005
6110008,2018,,7,0,0,23005
6110020,2018,,,,,23011
6110040,2018,,,,,23019
6110050,2018,,24,20,0,23019
6110070,2018,,7,0,0,23019
6110090,2018,,3,0,0,23009
6110120,2018,,4,0,0,23027
6110150,2018,,,,,23009
6110167,2018,,0,0,0,23005
6110180,2018,,0,0,0,23029
6110200,2018,,6,0,0,23003
6110240,2018,,0,0,0,23021
6110260,2018,,,,,23009
6110280,2018,,5,0,0,23007
6110290,2018,,6,0,0,23003
6110310,2018,,0,0,0,23021
6110330,2018,Intermedicate Care Beds,0,0,5,23003
6110367,2018,,0,0,0,23015
6110370,2018,Open Heart,19,0,19,23001
6110378,2018,,9,0,0,23031
6110380,2018,,,,,23001
6110386,2018,,0,0,0,23029
6110387,2018,,0,0,0,23019
6110390,2018,,0,0,0,23017
6110395,2018,,,,,23019
6110410,2018,,2,0,0,23025
6110430,2018,Neuro Critical Care,32,22,6,23005
6110435,2018,,0,0,0,23005
6110480,2018,,6,0,0,23003
6110505,2018,,6,0,0,23013
6110510,2018,,0,0,0,23017
6110523,2018,,4,0,0,23025
6110540,2018,,6,0,0,23011
6110555,2018,,8,8,0,23011
6110582,2018,,4,0,0,23011
6110605,2018,,0,0,0,23005
6110610,2018,,5,0,0,23031
6120001,2018,,,,,33015
6120002,2018,,,,,33013
6120010,2018,,2,0,0,33007
6120020,2018,,0,0,0,33019
6120029,2018,,,,,33007
6120030,2018,,16,4,0,33013
6120060,2018,,0,0,0,33013
6120080,2018,IMCU,11,0,6,33017
6120090,2018,,,,,33015
6120110,2018,,10,0,0,33015
6120130,2018,,0,0,0,33013
6120145,2018,,,,,33015
6120170,2018,,38,12,0,33009
6120180,2018,,10,0,0,33005
6120190,2018,,6,0,0,33001
6120210,2018,,3,0,0,33007
6120220,2018,,0,0,0,33009
6120225,2018,,30,0,0,33011
6120230,2018,,4,0,0,33009
6120240,2018,ICU,47,0,16,33011
6120275,2018,,,,,33011
6120290,2018,,8,0,0,33011
6120300,2018,,11,0,0,33011
6120310,2018,,4,0,0,33013
6120330,2018,,3,0,0,33003
6120340,2018,,2,0,0,33011
6120350,2018,,4,0,0,33009
6120370,2018,,,,,33015
6120380,2018,,6,14,0,33017
6120410,2018,,2,0,0,33003
6120420,2018,,,,,33009
6130001,2018,,21,21,0,50007
6130015,2018,,14,0,0,50023
6130040,2018,,,,,50003
6130060,2018,,5,0,0,50025
6130070,2018,,0,0,0,50025
6130120,2018,,,,,50001
6130140,2018,,0,0,0,50015
6130150,2018,,5,0,0,50019
6130200,2018,,,,,50017
6130210,2018,,13,0,0,50021
6130212,2018,,,,,50011
6130225,2018,,,,,50005
6130250,2018,,,,,50027
6130255,2018,,0,0,0,50025
6130270,2018,,7,0,0,50027
6130290,2018,,,,,50027
6130379,2018,,0,0,0,50023
6140002,2018,,32,0,0,25009
6140004,2018,,,,,25013
6140005,2018,,12,0,0,25017
6140007,2018,,,,,25023
6140008,2018,,10,0,0,25027
6140010,2018,,46,12,0,25025
6140011,2018,,12,0,0,25017
6140012,2018,,12,0,0,25017
6140013,2018,,69,8,0,25025
6140016,2018,,28,12,0,25005
6140017,2018,,,,,25009
6140021,2018,,,,,25005
6140022,2018,,0,0,0,25001
6140023,2018,,,,,25027
6140026,2018,,,,,25021
6140065,2018,,,,,25027
6140080,2018,,14,0,0,25005
6140090,2018,,,,,25017
6140110,2018,,0,0,0,25017
6140215,2018,,60,30,0,25025
6140218,2018,,,,,25025
6140219,2018,,,,,25001
6140221,2018,,0,0,0,25017
6140255,2018,,,,,25025
6140270,2018,,0,0,0,25025
6140310,2018,,,,,25025
6140330,2018,,,,,25025
