FIPS,num_acute_beds
1001,44
1003,95
1005,0
1007,35
1009,19
1011,0
1013,0
1015,65
1019,45
1021,30
1023,0
1025,0
1027,0
1031,78
1033,86
1035,0
1039,40
1041,0
1043,113
1045,0
1047,94
1049,0
1051,0
1053,0
1055,140
1057,35
1059,22
1061,0
1063,0
1065,0
1069,105
1071,0
1073,1578
1077,143
1079,0
1081,226
1083,47
1089,558
1091,0
1093,32
1095,152
1097,248
1099,0
1101,456
1103,0
1107,0
1109,0
1111,15
1113,27
1115,34
1117,138
1119,0
1121,0
1123,25
1125,337
1127,80
1129,0
1133,0
2020,253
2050,18
2070,0
2090,57
2110,0
2122,30
2130,16
2150,0
2170,0
2180,0
2185,0
2188,0
2195,0
2220,0
2261,13
2275,0
4001,0
4003,108
4005,171
4007,32
4009,36
4012,0
4013,4298
4015,189
4017,77
4019,1579
4021,125
4023,16
4025,209
4027,296
5001,59
5003,15
5005,124
5007,177
5009,69
5011,19
5015,40
5017,25
5019,17
5021,25
5023,25
5027,24
5029,20
5031,379
5033,36
5037,15
5039,22
5041,25
5043,34
5045,184
5047,25
5049,25
5051,319
5055,82
5057,59
5059,42
5061,18
5063,136
5065,15
5069,139
5071,41
5075,25
5081,25
5083,41
5091,0
5093,57
5103,32
5107,79
5113,25
5115,0
5119,1267
5121,19
5123,29
5125,60
5127,24
5131,415
5137,25
5139,40
5141,25
5143,435
5145,283
5149,30
6001,898
6005,0
6007,290
6009,25
6013,698
6015,0
6017,118
6019,859
6021,0
6023,126
6025,48
6027,0
6029,672
6031,0
6033,17
6035,20
6037,8967
6039,73
6041,296
6043,0
6045,52
6047,164
6049,4
6051,13
6053,355
6055,156
6057,0
6059,2403
6061,146
6063,9
6065,1584
6067,1090
6069,33
6071,1738
6073,2524
6075,771
6077,170
6079,163
6081,561
6083,171
6085,1318
6087,68
6089,289
6093,25
6095,314
6097,378
6099,360
6101,0
6103,0
6105,0
6107,336
6109,59
6111,143
6113,51
6115,175
8001,494
8003,26
8005,409
8007,11
8009,23
8013,292
8014,68
8015,19
8017,0
8021,0
8029,37
8031,918
8035,312
8037,38
8041,535
8043,17
8045,32
8049,0
8051,22
8055,0
8059,295
8061,25
8063,0
8065,8
8067,48
8069,266
8071,18
8073,10
8075,18
8077,216
8081,15
8083,0
8085,27
8087,36
8089,0
8095,40
8097,0
8099,21
8101,281
8103,0
8105,17
8107,20
8115,9
8117,18
8119,0
8123,143
8125,71
9001,992
9003,996
9005,74
9007,157
9009,1203
9011,282
9013,0
9015,22
10001,192
10003,691
10005,179
11001,1183
12001,889
12003,0
12005,126
12007,49
12009,636
12011,1995
12013,25
12015,521
12017,171
12019,335
12021,708
12023,0
