County,April_7_ICU_LB,April_7_ICU_M,April_7_ICU_UB,April_14_ICU_LB,April_14_ICU_M,April_14_ICU_UB,ICU_Utilization_UB,April_7_Acute_LB,April_7_Acute_M,April_7_Acute_UB,April_14_Acute_LB,April_14_Acute_M,April_14_Acute_UB,Acute_Utilization_UB
Alameda,4,6,12,6,10,27,0.158823529411765,22,35,72,32,56,162,0.180400890868597
Butte,0,0,1,0,1,2,0.0465116279069768,1,2,5,2,4,11,0.0379310344827586
Contra Costa,2,3,5,2,4,12,0.0845070422535211,9,14,29,13,23,65,0.0931232091690544
El Dorado,1,1,2,1,1,3,0.107142857142857,2,3,7,3,5,16,0.135593220338983
Fresno,1,1,2,1,2,4,0.0180995475113122,4,6,12,5,10,28,0.0325960419091967
Humboldt,0,0,0,0,0,1,0.0416666666666667,0,1,1,1,1,3,0.0238095238095238
Imperial,1,2,4,2,3,8,1,7,11,23,10,18,52,1.08333333333333
Kern,1,1,3,1,2,6,0.0451127819548872,6,9,19,8,14,42,0.0625
Kings,0,0,0,0,0,1,Inf,1,1,2,1,2,6,Inf
Los Angeles,37,57,114,53,92,256,0.140043763676149,213,327,683,301,532,1534,0.171071707371473
Madera,0,0,0,0,0,0,0,0,1,1,1,1,3,0.0410958904109589
Marin,1,1,3,1,2,6,0.176470588235294,4,6,12,5,9,26,0.0878378378378378
Mendocino,0,0,1,0,0,1,0.1,1,1,2,1,2,5,0.0961538461538462
Merced,0,0,0,0,0,0,0,0,1,1,1,1,3,0.0182926829268293
Monterey,1,1,2,1,2,5,0.116279069767442,4,6,13,6,10,30,0.0845070422535211
Napa,0,0,1,0,1,2,0.0303030303030303,1,2,4,2,3,8,0.0512820512820513
Nevada,3,4,8,4,6,17,Inf,9,14,30,13,23,67,Inf
Orange,6,10,19,9,16,43,0.0975056689342404,34,53,111,49,86,248,0.103204327923429
Placer,2,2,5,2,4,11,0.55,7,11,23,10,18,51,0.349315068493151
Riverside,4,6,12,6,10,28,0.1,23,35,73,32,57,164,0.103535353535354
Sacramento,3,4,8,4,7,19,0.0805084745762712,15,23,49,21,38,110,0.100917431192661
San Bernardino,4,6,12,6,10,28,0.0758807588075881,26,40,83,37,65,186,0.107019562715765
San Diego,9,13,27,12,21,60,0.118811881188119,49,75,157,69,123,353,0.139857369255151
San Francisco,3,5,9,4,7,21,0.0976744186046512,16,24,51,22,39,114,0.147859922178988
San Joaquin,1,2,4,2,3,9,0.264705882352941,8,12,25,11,19,55,0.323529411764706
San Luis Obispo,0,0,0,0,0,1,0.037037037037037,0,1,1,1,1,3,0.0184049079754601
San Mateo,4,6,12,6,10,27,0.303370786516854,20,31,64,28,50,143,0.254901960784314
Santa Barbara,1,2,4,2,3,9,0.1875,7,11,23,10,18,52,0.304093567251462
Santa Clara,10,15,31,14,25,70,0.263157894736842,58,90,187,82,146,420,0.31866464339909
Santa Cruz,0,0,0,0,0,0,0,0,1,1,1,1,3,0.0441176470588235
Shasta,0,0,0,0,0,1,0.02,0,1,1,1,1,3,0.0103806228373702
Solano,1,2,3,2,3,7,0.1,6,9,18,8,14,41,0.130573248407643
Sonoma,1,1,2,1,1,4,0.0714285714285714,3,4,8,4,6,19,0.0502645502645503
Stanislaus,1,2,3,2,3,8,0.148148148148148,7,10,21,9,16,47,0.130555555555556
Tulare,0,0,1,0,1,2,0.0689655172413793,2,3,6,3,5,14,0.0416666666666667
Tuolumne,0,0,0,0,0,1,0.166666666666667,0,1,1,1,1,3,0.0508474576271187
Ventura,2,3,5,3,4,12,0.226415094339623,9,15,30,13,24,68,0.475524475524476
Yolo,0,0,0,0,0,1,0.125,1,1,2,1,2,6,0.117647058823529
Yuba,0,0,1,0,0,1,0.0416666666666667,1,2,4,2,3,8,0.0457142857142857
