County,April_7_ICU_LB,April_7_ICU_M,April_7_ICU_UB,April_14_ICU_LB,April_14_ICU_M,April_14_ICU_UB,ICU_Utilization_UB,April_7_Acute_LB,April_7_Acute_M,April_7_Acute_UB,April_14_Acute_LB,April_14_Acute_M,April_14_Acute_UB,Acute_Utilization_UB
Alameda,10,14,22,13,22,44,0.360655737704918,18,28,47,26,46,93,0.103563474387528
Butte,1,1,2,1,2,3,0.6,1,2,3,2,3,6,0.0206896551724138
Contra Costa,4,6,9,5,9,19,0.311475409836066,7,11,19,10,18,37,0.0530085959885387
El Dorado,1,2,2,1,2,5,0.555555555555556,2,3,5,3,4,9,0.076271186440678
Fresno,2,2,4,2,4,8,0.333333333333333,3,5,8,4,8,16,0.0186263096623981
Humboldt,0,0,0,0,0,1,0.1,0,0,1,0,1,2,0.0158730158730159
Imperial,3,5,7,4,7,15,3.75,6,9,15,8,15,29,0.604166666666667
Kern,2,3,5,3,5,11,0.34375,5,7,12,7,12,24,0.0357142857142857
Kings,0,0,1,0,1,1,Inf,1,1,2,1,2,3,Inf
Los Angeles,97,138,214,123,213,423,1.11315789473684,173,266,438,244,431,876,0.0976915356306457
Madera,0,0,0,0,0,1,0.25,0,0,1,0,1,2,0.0273972602739726
Marin,2,3,4,2,4,8,0.5,3,5,7,4,7,15,0.0506756756756757
Mendocino,0,1,1,0,1,2,0.25,1,1,2,1,1,3,0.0576923076923077
Merced,0,0,0,0,0,1,0.333333333333333,0,0,1,0,1,2,0.0121951219512195
Monterey,2,3,4,2,4,8,0.470588235294118,3,5,9,5,8,17,0.047887323943662
Napa,1,1,1,1,1,3,0.333333333333333,1,1,2,1,2,4,0.0256410256410256
Nevada,5,8,12,7,12,23,7.66666666666667,7,11,19,11,19,38,Inf
Orange,16,23,36,20,35,70,0.666666666666667,28,43,71,39,70,141,0.0586766541822722
Placer,4,5,8,5,8,16,0.551724137931035,6,9,14,8,14,28,0.191780821917808
Riverside,11,15,24,14,24,47,0.61038961038961,18,28,46,26,46,93,0.0587121212121212
Sacramento,7,10,15,9,15,31,0.326315789473684,12,19,31,17,31,62,0.0568807339449541
San Bernardino,11,15,24,14,24,47,0.61038961038961,21,33,54,30,53,108,0.0621403912543153
San Diego,23,32,50,29,50,99,0.546961325966851,40,61,100,56,99,201,0.079635499207607
San Francisco,8,11,17,10,17,33,0.634615384615385,13,20,32,18,32,65,0.0843060959792477
San Joaquin,3,5,8,4,8,15,1,6,10,16,9,16,31,0.182352941176471
San Luis Obispo,0,0,0,0,0,1,0.00106496272630458,0,0,1,0,1,1,0.00613496932515337
San Mateo,10,14,21,12,21,42,1.44827586206897,16,25,41,23,40,81,0.144385026737968
Santa Barbara,4,5,8,5,8,16,0.333333333333333,6,9,14,8,14,29,0.169590643274854
Santa Clara,26,38,58,33,58,115,1.11650485436893,47,73,120,67,118,240,0.182094081942337
Santa Cruz,0,0,0,0,0,1,0.2,0,0,1,0,1,2,0.0294117647058824
Shasta,0,0,0,0,0,1,0.5,0,0,1,0,1,1,0.00346020761245675
Solano,3,4,6,3,6,12,0.25531914893617,5,7,12,7,12,23,0.0732484076433121
Sonoma,1,2,3,2,3,6,0.230769230769231,2,3,5,3,5,11,0.0291005291005291
Stanislaus,3,4,6,4,6,13,0.448275862068966,5,8,13,7,13,27,0.075
Tulare,1,1,2,1,2,4,0.571428571428571,2,2,4,2,4,8,0.0238095238095238
Tuolumne,0,0,0,0,0,1,0.333333333333333,0,0,1,0,1,1,0.0169491525423729
Ventura,4,6,10,6,10,20,1.33333333333333,8,12,19,11,19,39,0.272727272727273
Yolo,0,0,1,0,1,2,Inf,1,1,2,1,2,3,0.0588235294117647
Yuba,1,1,1,1,1,2,0.2,1,1,2,1,2,5,0.0285714285714286
