"area","age_decade","population_in_age_group"
"Alberta","0-9",551472
"Alberta","10-19",523272
"Alberta","20-29",600162
"Alberta","30-39",708472
"Alberta","40-49",595819
"Alberta","50-59",553824
"Alberta","60-69",456499
"Alberta","70-79",245980
"Alberta","80+",135816
"British Columbia","0-9",468921
"British Columbia","10-19",521779
"British Columbia","20-29",690552
"British Columbia","30-39",717836
"British Columbia","40-49",646413
"British Columbia","50-59",723713
"British Columbia","60-69",659506
"British Columbia","70-79",413294
"British Columbia","80+",229322
"Manitoba","0-9",174657
"Manitoba","10-19",172289
"Manitoba","20-29",195383
"Manitoba","30-39",190725
"Manitoba","40-49",167925
"Manitoba","50-59",172495
"Manitoba","60-69",150364
"Manitoba","70-79",91123
"Manitoba","80+",54504
"New Brunswick","0-9",72564
"New Brunswick","10-19",80500
"New Brunswick","20-29",86908
"New Brunswick","30-39",90537
"New Brunswick","40-49",100288
"New Brunswick","50-59",119296
"New Brunswick","60-69",115293
"New Brunswick","70-79",73855
"New Brunswick","80+",37586
"Newfoundland and Labrador","0-9",45270
"Newfoundland and Labrador","10-19",53238
"Newfoundland and Labrador","20-29",57016
"Newfoundland and Labrador","30-39",59064
"Newfoundland and Labrador","40-49",68657
"Newfoundland and Labrador","50-59",84145
"Newfoundland and Labrador","60-69",81344
"Newfoundland and Labrador","70-79",50674
"Newfoundland and Labrador","80+",22134
"Northwest Territories","0-9",6112
"Northwest Territories","10-19",5743
"Northwest Territories","20-29",6794
"Northwest Territories","30-39",7097
"Northwest Territories","40-49",6190
"Northwest Territories","50-59",6577
"Northwest Territories","60-69",4250
"Northwest Territories","70-79",1531
"Northwest Territories","80+",532
"Nova Scotia","0-9",89490
"Nova Scotia","10-19",98636
"Nova Scotia","20-29",124835
"Nova Scotia","30-39",116929
"Nova Scotia","40-49",118226
"Nova Scotia","50-59",146676
"Nova Scotia","60-69",139767
"Nova Scotia","70-79",90664
"Nova Scotia","80+",46172
"Nunavut","0-9",8537
"Nunavut","10-19",7078
"Nunavut","20-29",6325
"Nunavut","30-39",5781
"Nunavut","40-49",4419
"Nunavut","50-59",3997
"Nunavut","60-69",1770
"Nunavut","70-79",684
"Nunavut","80+",189
"Ontario","0-9",1492308
"Ontario","10-19",1649385
"Ontario","20-29",2085699
"Ontario","30-39",1975770
"Ontario","40-49",1856123
"Ontario","50-59",2059539
"Ontario","60-69",1716408
"Ontario","70-79",1088744
"Ontario","80+",642571
"Prince Edward Island","0-9",15761
"Prince Edward Island","10-19",17956
"Prince Edward Island","20-29",20432
"Prince Edward Island","30-39",18133
"Prince Edward Island","40-49",19831
"Prince Edward Island","50-59",22609
"Prince Edward Island","60-69",21273
"Prince Edward Island","70-79",14019
"Prince Edward Island","80+",6933
"Quebec","0-9",897086
"Quebec","10-19",866061
"Quebec","20-29",1066598
"Quebec","30-39",1115805
"Quebec","40-49",1087073
"Quebec","50-59",1207213
"Quebec","60-69",1124019
"Quebec","70-79",722944
"Quebec","80+",398166
"Saskatchewan","0-9",155592
"Saskatchewan","10-19",146266
"Saskatchewan","20-29",156246
"Saskatchewan","30-39",171056
"Saskatchewan","40-49",140743
"Saskatchewan","50-59",146169
"Saskatchewan","60-69",132823
"Saskatchewan","70-79",75305
"Saskatchewan","80+",50262
"Yukon","0-9",4757
"Yukon","10-19",4194
"Yukon","20-29",5222
"Yukon","30-39",6754
"Yukon","40-49",5708
"Yukon","50-59",6040
"Yukon","60-69",5179
"Yukon","70-79",2220
"Yukon","80+",780
