Year,GEO,Age group,VALUE
2019,Newfoundland and Labrador,All ages,521542
2019,Newfoundland and Labrador,0 to 4 years,21231
2019,Newfoundland and Labrador,0 years,3943
2019,Newfoundland and Labrador,1 year,4032
2019,Newfoundland and Labrador,2 years,4349
2019,Newfoundland and Labrador,3 years,4454
2019,Newfoundland and Labrador,4 years,4453
2019,Newfoundland and Labrador,5 to 9 years,24039
2019,Newfoundland and Labrador,5 years,4690
2019,Newfoundland and Labrador,6 years,4541
2019,Newfoundland and Labrador,7 years,4631
2019,Newfoundland and Labrador,8 years,4947
2019,Newfoundland and Labrador,9 years,5230
2019,Newfoundland and Labrador,10 to 14 years,25928
2019,Newfoundland and Labrador,10 years,5262
2019,Newfoundland and Labrador,11 years,5258
2019,Newfoundland and Labrador,12 years,5132
2019,Newfoundland and Labrador,13 years,5166
2019,Newfoundland and Labrador,14 years,5110
2019,Newfoundland and Labrador,15 to 19 years,27310
2019,Newfoundland and Labrador,15 years,5252
2019,Newfoundland and Labrador,16 years,5306
2019,Newfoundland and Labrador,17 years,5442
2019,Newfoundland and Labrador,18 years,5482
2019,Newfoundland and Labrador,19 years,5828
2019,Newfoundland and Labrador,20 to 24 years,28455
2019,Newfoundland and Labrador,20 years,5845
2019,Newfoundland and Labrador,21 years,5798
2019,Newfoundland and Labrador,22 years,5643
2019,Newfoundland and Labrador,23 years,5623
2019,Newfoundland and Labrador,24 years,5546
2019,Newfoundland and Labrador,25 to 29 years,28561
2019,Newfoundland and Labrador,25 years,5530
2019,Newfoundland and Labrador,26 years,5501
2019,Newfoundland and Labrador,27 years,5653
2019,Newfoundland and Labrador,28 years,5776
2019,Newfoundland and Labrador,29 years,6101
2019,Newfoundland and Labrador,30 to 34 years,28652
2019,Newfoundland and Labrador,30 years,5678
2019,Newfoundland and Labrador,31 years,5654
2019,Newfoundland and Labrador,32 years,5625
2019,Newfoundland and Labrador,33 years,5805
2019,Newfoundland and Labrador,34 years,5890
2019,Newfoundland and Labrador,35 to 39 years,30412
2019,Newfoundland and Labrador,35 years,6013
2019,Newfoundland and Labrador,36 years,6047
2019,Newfoundland and Labrador,37 years,6084
2019,Newfoundland and Labrador,38 years,6042
2019,Newfoundland and Labrador,39 years,6226
2019,Newfoundland and Labrador,40 to 44 years,31928
2019,Newfoundland and Labrador,40 years,6112
2019,Newfoundland and Labrador,41 years,6265
2019,Newfoundland and Labrador,42 years,6337
2019,Newfoundland and Labrador,43 years,6496
2019,Newfoundland and Labrador,44 years,6718
2019,Newfoundland and Labrador,45 to 49 years,36729
2019,Newfoundland and Labrador,45 years,6797
2019,Newfoundland and Labrador,46 years,7005
2019,Newfoundland and Labrador,47 years,7480
2019,Newfoundland and Labrador,48 years,7666
2019,Newfoundland and Labrador,49 years,7781
2019,Newfoundland and Labrador,50 to 54 years,40991
2019,Newfoundland and Labrador,50 years,7850
2019,Newfoundland and Labrador,51 years,8079
2019,Newfoundland and Labrador,52 years,8095
2019,Newfoundland and Labrador,53 years,8417
2019,Newfoundland and Labrador,54 years,8550
2019,Newfoundland and Labrador,55 to 59 years,43154
2019,Newfoundland and Labrador,55 years,8608
2019,Newfoundland and Labrador,56 years,8638
2019,Newfoundland and Labrador,57 years,8553
2019,Newfoundland and Labrador,58 years,8757
2019,Newfoundland and Labrador,59 years,8598
2019,Newfoundland and Labrador,60 to 64 years,42234
2019,Newfoundland and Labrador,60 years,8561
2019,Newfoundland and Labrador,61 years,8526
2019,Newfoundland and Labrador,62 years,8396
2019,Newfoundland and Labrador,63 years,8429
2019,Newfoundland and Labrador,64 years,8322
2019,Newfoundland and Labrador,65 to 69 years,39110
2019,Newfoundland and Labrador,65 years,8267
2019,Newfoundland and Labrador,66 years,7969
2019,Newfoundland and Labrador,67 years,7753
2019,Newfoundland and Labrador,68 years,7713
2019,Newfoundland and Labrador,69 years,7408
2019,Newfoundland and Labrador,70 to 74 years,31391
2019,Newfoundland and Labrador,70 years,6984
2019,Newfoundland and Labrador,71 years,6771
2019,Newfoundland and Labrador,72 years,6487
2019,Newfoundland and Labrador,73 years,6147
2019,Newfoundland and Labrador,74 years,5002
2019,Newfoundland and Labrador,75 to 79 years,19283
2019,Newfoundland and Labrador,75 years,4671
2019,Newfoundland and Labrador,76 years,4283
2019,Newfoundland and Labrador,77 years,3773
2019,Newfoundland and Labrador,78 years,3400
2019,Newfoundland and Labrador,79 years,3156
2019,Newfoundland and Labrador,80 to 84 years,11986
2019,Newfoundland and Labrador,80 years,2920
2019,Newfoundland and Labrador,81 years,2667
2019,Newfoundland and Labrador,82 years,2392
2019,Newfoundland and Labrador,83 years,2125
2019,Newfoundland and Labrador,84 years,1882
2019,Newfoundland and Labrador,85 to 89 years,6535
2019,Newfoundland and Labrador,85 years,1684
2019,Newfoundland and Labrador,86 years,1485
2019,Newfoundland and Labrador,87 years,1289
2019,Newfoundland and Labrador,88 years,1124
2019,Newfoundland and Labrador,89 years,953
2019,Newfoundland and Labrador,90 to 94 years,2677
2019,Newfoundland and Labrador,90 years,776
2019,Newfoundland and Labrador,91 years,601
2019,Newfoundland and Labrador,92 years,518
2019,Newfoundland and Labrador,93 years,447
2019,Newfoundland and Labrador,94 years,335
2019,Newfoundland and Labrador,95 to 99 years,799
2019,Newfoundland and Labrador,95 years,249
2019,Newfoundland and Labrador,96 years,189
2019,Newfoundland and Labrador,97 years,177
2019,Newfoundland and Labrador,98 years,100
2019,Newfoundland and Labrador,99 years,84
2019,Newfoundland and Labrador,100 years and over,137
2019,Newfoundland and Labrador,0 to 14 years,71198
2019,Newfoundland and Labrador,0 to 15 years,76450
2019,Newfoundland and Labrador,0 to 16 years,81756
2019,Newfoundland and Labrador,0 to 17 years,87198
2019,Newfoundland and Labrador,15 to 49 years,212047
2019,Newfoundland and Labrador,15 to 64 years,338426
2019,Newfoundland and Labrador,16 to 64 years,333174
2019,Newfoundland and Labrador,17 to 64 years,327868
2019,Newfoundland and Labrador,18 years and over,434344
2019,Newfoundland and Labrador,18 to 64 years,322426
2019,Newfoundland and Labrador,18 to 24 years,39765
2019,Newfoundland and Labrador,25 to 44 years,119553
2019,Newfoundland and Labrador,45 to 64 years,163108
2019,Newfoundland and Labrador,65 years and over,111918
2019,Newfoundland and Labrador,90 years and over,3613
2019,Prince Edward Island,All ages,156947
2019,Prince Edward Island,0 to 4 years,7455
2019,Prince Edward Island,0 years,1415
2019,Prince Edward Island,1 year,1436
2019,Prince Edward Island,2 years,1507
2019,Prince Edward Island,3 years,1529
2019,Prince Edward Island,4 years,1568
2019,Prince Edward Island,5 to 9 years,8306
2019,Prince Edward Island,5 years,1616
2019,Prince Edward Island,6 years,1562
2019,Prince Edward Island,7 years,1683
2019,Prince Edward Island,8 years,1694
2019,Prince Edward Island,9 years,1751
2019,Prince Edward Island,10 to 14 years,8772
2019,Prince Edward Island,10 years,1773
2019,Prince Edward Island,11 years,1759
2019,Prince Edward Island,12 years,1779
2019,Prince Edward Island,13 years,1691
2019,Prince Edward Island,14 years,1770
2019,Prince Edward Island,15 to 19 years,9184
2019,Prince Edward Island,15 years,1765
2019,Prince Edward Island,16 years,1757
2019,Prince Edward Island,17 years,1707
2019,Prince Edward Island,18 years,1888
2019,Prince Edward Island,19 years,2067
2019,Prince Edward Island,20 to 24 years,10624
2019,Prince Edward Island,20 years,2121
2019,Prince Edward Island,21 years,2084
2019,Prince Edward Island,22 years,2158
2019,Prince Edward Island,23 years,2176
2019,Prince Edward Island,24 years,2085
2019,Prince Edward Island,25 to 29 years,9808
2019,Prince Edward Island,25 years,2017
2019,Prince Edward Island,26 years,1996
2019,Prince Edward Island,27 years,2010
2019,Prince Edward Island,28 years,1903
2019,Prince Edward Island,29 years,1882
2019,Prince Edward Island,30 to 34 years,8880
2019,Prince Edward Island,30 years,1769
2019,Prince Edward Island,31 years,1716
2019,Prince Edward Island,32 years,1790
2019,Prince Edward Island,33 years,1857
2019,Prince Edward Island,34 years,1748
2019,Prince Edward Island,35 to 39 years,9253
2019,Prince Edward Island,35 years,1791
2019,Prince Edward Island,36 years,1835
2019,Prince Edward Island,37 years,1898
2019,Prince Edward Island,38 years,1858
2019,Prince Edward Island,39 years,1871
2019,Prince Edward Island,40 to 44 years,9495
2019,Prince Edward Island,40 years,1936
2019,Prince Edward Island,41 years,1885
2019,Prince Edward Island,42 years,1907
2019,Prince Edward Island,43 years,1887
2019,Prince Edward Island,44 years,1880
2019,Prince Edward Island,45 to 49 years,10336
2019,Prince Edward Island,45 years,1988
2019,Prince Edward Island,46 years,2016
2019,Prince Edward Island,47 years,2112
2019,Prince Edward Island,48 years,2112
2019,Prince Edward Island,49 years,2108
2019,Prince Edward Island,50 to 54 years,10574
2019,Prince Edward Island,50 years,2108
2019,Prince Edward Island,51 years,2000
2019,Prince Edward Island,52 years,2035
2019,Prince Edward Island,53 years,2078
2019,Prince Edward Island,54 years,2353
2019,Prince Edward Island,55 to 59 years,12035
2019,Prince Edward Island,55 years,2409
2019,Prince Edward Island,56 years,2437
2019,Prince Edward Island,57 years,2348
