age_decade,area,pruid,population_in_age_group,hospitalizations_per_case,severe_cases_rate,critical_case_rate,case_fatality_rate,num_acute_beds,num_icu_beds,Cases
0-9,Alberta,48,551472,0.001,0.00095,5e-05,2e-05,5741,671,1075
0-9,British Columbia,59,468921,0.001,0.00095,5e-05,2e-05,5862,607,1174
0-9,Manitoba,46,174657,0.001,0.00095,5e-05,2e-05,2885,246,164
0-9,New Brunswick,13,72564,0.001,0.00095,5e-05,2e-05,1448,144,95
0-9,Newfoundland and Labrador,10,45270,0.001,0.00095,5e-05,2e-05,1048,92,183
0-9,Northwest Territories,61,6112,0.001,0.00095,5e-05,2e-05,0,0,4
0-9,Nova Scotia,12,89490,0.001,0.00095,5e-05,2e-05,1832,123,207
0-9,Nunavut,62,8537,0.001,0.00095,5e-05,2e-05,,,0
0-9,Ontario,35,1492308,0.001,0.00095,5e-05,2e-05,15072,1678,3255
0-9,Prince Edward Island,11,15761,0.001,0.00095,5e-05,2e-05,295,24,22
0-9,Quebec,24,897086,0.001,0.00095,5e-05,2e-05,,,6101
0-9,Saskatchewan,47,155592,0.001,0.00095,5e-05,2e-05,2198,106,220
0-9,Yukon,60,4757,0.001,0.00095,5e-05,2e-05,55,0,6
10-19,Alberta,48,523272,0.003,0.00285,0.00015,6e-05,5741,671,1075
10-19,British Columbia,59,521779,0.003,0.00285,0.00015,6e-05,5862,607,1174
10-19,Manitoba,46,172289,0.003,0.00285,0.00015,6e-05,2885,246,164
10-19,New Brunswick,13,80500,0.003,0.00285,0.00015,6e-05,1448,144,95
10-19,Newfoundland and Labrador,10,53238,0.003,0.00285,0.00015,6e-05,1048,92,183
10-19,Northwest Territories,61,5743,0.003,0.00285,0.00015,6e-05,0,0,4
10-19,Nova Scotia,12,98636,0.003,0.00285,0.00015,6e-05,1832,123,207
10-19,Nunavut,62,7078,0.003,0.00285,0.00015,6e-05,,,0
10-19,Ontario,35,1649385,0.003,0.00285,0.00015,6e-05,15072,1678,3255
10-19,Prince Edward Island,11,17956,0.003,0.00285,0.00015,6e-05,295,24,22
10-19,Quebec,24,866061,0.003,0.00285,0.00015,6e-05,,,6101
10-19,Saskatchewan,47,146266,0.003,0.00285,0.00015,6e-05,2198,106,220
10-19,Yukon,60,4194,0.003,0.00285,0.00015,6e-05,55,0,6
20-29,Alberta,48,600162,0.012,0.0114,6e-04,3e-04,5741,671,1075
20-29,British Columbia,59,690552,0.012,0.0114,6e-04,3e-04,5862,607,1174
20-29,Manitoba,46,195383,0.012,0.0114,6e-04,3e-04,2885,246,164
20-29,New Brunswick,13,86908,0.012,0.0114,6e-04,3e-04,1448,144,95
20-29,Newfoundland and Labrador,10,57016,0.012,0.0114,6e-04,3e-04,1048,92,183
20-29,Northwest Territories,61,6794,0.012,0.0114,6e-04,3e-04,0,0,4
20-29,Nova Scotia,12,124835,0.012,0.0114,6e-04,3e-04,1832,123,207
20-29,Nunavut,62,6325,0.012,0.0114,6e-04,3e-04,,,0
20-29,Ontario,35,2085699,0.012,0.0114,6e-04,3e-04,15072,1678,3255
20-29,Prince Edward Island,11,20432,0.012,0.0114,6e-04,3e-04,295,24,22
20-29,Quebec,24,1066598,0.012,0.0114,6e-04,3e-04,,,6101
