FIPS,num_icu_beds
1001,6
1003,51
1005,5
1007,0
1009,6
1011,0
1013,7
1015,24
1017,0
1019,0
1021,6
1023,0
1025,0
1027,4
1029,0
1031,7
1033,22
1035,0
1037,0
1039,13
1041,0
1043,12
1045,6
1047,18
1049,12
1051,5
1053,14
1055,56
1057,12
1059,7
1061,6
1063,0
1065,0
1067,0
1069,66
1071,10
1073,471
1075,0
1077,48
1079,6
1081,28
1083,10
1085,0
1087,0
1089,100
1091,5
1093,4
1095,20
1097,157
1099,8
1101,88
1103,34
1105,0
1107,4
1109,9
1111,0
1113,8
1115,6
1117,32
1119,0
1121,14
1123,6
1125,84
1127,12
1129,0
1131,0
1133,4
2013,0
2016,0
2020,73
2050,0
2060,0
2068,0
2070,0
2090,13
2100,0
2105,0
2110,9
2122,6
2130,4
2150,0
2158,0
2164,0
2170,14
2180,0
2185,0
2188,0
2195,0
2198,0
2220,0
2230,0
2240,0
2261,0
2275,0
2282,0
2290,0
4001,0
4003,12
4005,41
4007,8
4009,0
4011,0
4012,3
4013,1004
4015,80
4017,12
4019,296
4021,22
4023,0
4025,39
4027,42
5001,0
5003,6
5005,17
5007,30
5009,24
5011,0
5013,0
5015,0
5017,0
5019,0
5021,0
5023,0
5025,0
5027,6
5029,0
5031,66
5033,8
5035,0
5037,0
5039,0
5041,0
5043,5
5045,25
5047,0
5049,0
5051,41
5053,0
5055,8
5057,8
5059,6
5061,0
5063,12
5065,0
5067,0
5069,34
5071,8
5073,0
5075,0
5077,0
5079,0
5081,0
5083,0
5085,0
5087,0
5089,0
5091,0
5093,5
5095,0
5097,0
5099,0
5101,0
5103,8
5105,0
5107,6
5109,0
5111,0
5113,6
5115,11
5117,0
5119,209
5121,2
5123,6
5125,16
5127,0
5129,0
5131,69
5133,0
5135,0
5137,0
5139,16
5141,0
5143,61
5145,13
5147,0
5149,0
6001,291
6005,6
6007,47
6009,8
6011,6
6013,169
6015,6
6017,28
6019,149
6023,26
6025,28
6027,4
6029,155
6031,22
6033,8
6037,2108
6039,52
6041,30
6045,16
6047,24
6051,2
6053,30
6055,48
6057,8
6059,614
6061,58
6065,378
6067,376
6069,4
6071,486
6073,598
6075,326
6077,80
6079,48
6081,96
6083,79
6085,438
6087,13
6089,70
6093,8
6095,86
6097,72
6099,92
6103,8
6107,65
6109,6
6111,123
6113,14
6115,24
8001,168
8003,6
8005,127
8007,0
8009,0
8011,0
8013,72
8014,20
8015,2
8017,0
8019,0
8021,0
8023,0
8025,0
8027,0
8029,6
8031,227
8033,0
8035,54
8037,5
8039,0
8041,95
8043,4
8045,5
8047,0
8049,0
8051,0
8053,0
8055,0
8057,0
8059,94
8061,0
8063,0
8065,0
8067,11
8069,55
8071,0
8073,0
8075,4
8077,44
8079,0
8081,0
8083,4
8085,8
8087,6
8089,4
8091,0
8093,0
8095,0
8097,4
8099,0
8101,32
8103,0
8105,0
8107,4
8109,0
8111,0
8113,0
8115,0
8117,8
8119,0
8121,0
8123,26
8125,0
9001,173
9003,216
9005,21
9007,24
9009,186
9011,32
9013,16
9015,6
10001,29
10003,119
10005,38
11001,314
12001,210
12003,0
12005,77
12007,0
12009,159
12011,587
12013,0
12015,51
12017,40
12019,28
12021,73
12023,27
12027,8
12029,0
12031,412
12033,120
12035,18
12037,0
12039,0
12041,0
12043,0
12045,0
12047,0
12049,0
12051,3
12053,44
12055,38
12057,432
12059,0
12061,40
12063,7
12065,0
12067,0
12069,158
12071,141
12073,60
12075,0
12077,0
12079,0
12081,90
12083,110
12085,74
12086,593
12087,14
12089,0
12091,57
12093,8
12095,388
12097,66
12099,401
12101,166
12103,279
12105,145
12107,10
12109,47
12111,69
12113,16
12115,118
12117,38
12119,0
12121,0
12123,6
12125,0
12127,148
12129,0
12131,28
12133,0
13001,3
13003,0
13005,4
13007,0
13009,12
13011,0
13013,6
13015,21
13017,5
13019,0
13021,117
13023,0
13025,0
13027,0
13029,0
13031,24
13033,0
13035,0
13037,0
13039,5
13043,6
13045,18
13047,0
13049,0
13051,78
13053,0
13055,0
13057,15
13059,104
13061,0
13063,34
13065,0
13067,119
13069,10
13071,10
13073,0
13075,0
13077,19
13079,0
13081,16
13083,0
13085,0
13087,10
13089,168
13091,6
13093,0
13095,50
13097,8
13099,0
13101,0
13103,0
13105,4
13107,8
13109,0
13111,5
13113,37
13115,65
13117,24
13119,8
13121,538
13123,0
13125,0
13127,24
13129,8
13131,4
13133,0
13135,82
13137,4
13139,85
13141,0
13143,0
13145,0
13147,0
13149,0
13151,40
13153,36
13155,0
13157,0
13159,0
13161,4
13163,0
13165,0
13167,0
13169,0
13171,0
13173,0
13175,16
13177,0
13179,0
13181,0
13183,0
13185,48
13187,0
13189,0
13191,0
13193,0
13195,0
13197,0
13199,0
13201,0
13205,0
13207,0
13209,0
13211,0
13213,0
13215,61
13217,10
13219,0
13221,0
13223,8
13225,0
13227,6
13229,0
13231,0
13233,0
13235,6
13237,0
13239,0
13241,0
13243,0
13245,264
13247,16
13249,0
13251,0
13253,0
13255,22
13257,6
13259,0
13261,10
13263,0
13265,0
13267,0
13269,0
13271,0
13273,0
13275,35
13277,20
13279,8
13281,0
13283,0
13285,20
13287,0
