"","FIPS","num_icu_beds"
"1",1001,6
"2",1003,10
"3",1005,0
"4",1007,0
"5",1009,6
"6",1011,0
"7",1013,0
"8",1015,18
"9",1019,0
"10",1021,6
"11",1023,0
"12",1025,0
"13",1027,0
"14",1031,7
"15",1033,22
"16",1035,0
"17",1039,5
"18",1041,0
"19",1043,12
"20",1045,0
"21",1047,18
"22",1049,0
"23",1051,0
"24",1053,0
"25",1055,40
"26",1057,8
"27",1059,0
"28",1061,0
"29",1063,0
"30",1065,0
"31",1069,18
"32",1071,0
"33",1073,479
"34",1077,36
"35",1079,0
"36",1081,28
"37",1083,10
"38",1089,134
"39",1091,0
"40",1093,4
"41",1095,20
"42",1097,77
"43",1099,0
"44",1101,98
"45",1103,0
"46",1107,0
"47",1109,0
"48",1111,0
"49",1113,8
"50",1115,6
"51",1117,32
"52",1119,0
"53",1121,0
"54",1123,6
"55",1125,72
"56",1127,12
"57",1129,0
"58",1133,0
"59",2020,96
"60",2050,0
"61",2070,0
"62",2090,13
"63",2110,0
"64",2122,6
"65",2130,4
"66",2150,0
"67",2170,0
"68",2180,0
"69",2185,0
"70",2188,0
"71",2195,0
"72",2220,0
"73",2261,0
"74",2275,0
"75",4001,0
"76",4003,12
"77",4005,44
"78",4007,8
"79",4009,6
"80",4012,0
"81",4013,950
"82",4015,64
"83",4017,12
"84",4019,334
"85",4021,34
"86",4023,2
"87",4025,39
"88",4027,42
"89",5001,0
"90",5003,6
"91",5005,17
"92",5007,30
"93",5009,12
"94",5011,0
"95",5015,0
"96",5017,0
"97",5019,4
"98",5021,0
"99",5023,0
"100",5027,6
"101",5029,0
"102",5031,68
"103",5033,3
"104",5037,0
"105",5039,0
"106",5041,0
"107",5043,7
"108",5045,25
"109",5047,0
"110",5049,0
"111",5051,49
"112",5055,10
"113",5057,8
"114",5059,6
"115",5061,2
"116",5063,25
"117",5065,0
"118",5069,34
"119",5071,8
"120",5075,0
"121",5081,0
"122",5083,0
"123",5091,0
"124",5093,12
"125",5103,8
"126",5107,6
"127",5113,6
"128",5115,0
"129",5119,496
"130",5121,3
"131",5123,6
"132",5125,16
"133",5127,0
"134",5131,72
"135",5137,0
"136",5139,16
"137",5141,0
"138",5143,61
"139",5145,14
"140",5149,0
"141",6001,170
"142",6005,0
"143",6007,43
"144",6009,6
"145",6013,142
"146",6015,0
"147",6017,28
"148",6019,221
"149",6021,0
"150",6023,24
"151",6025,8
"152",6027,0
"153",6029,133
"154",6031,0
"155",6033,4
"156",6035,0
"157",6037,1828
"158",6039,10
"159",6041,34
"160",6043,0
"161",6045,10
"162",6047,24
"163",6049,0
"164",6051,2
"165",6053,43
"166",6055,66
"167",6057,0
"168",6059,441
"169",6061,20
"170",6063,0
"171",6065,280
"172",6067,236
"173",6069,8
"174",6071,369
"175",6073,505
"176",6075,215
"177",6077,34
"178",6079,27
"179",6081,89
"180",6083,48
"181",6085,266
"182",6087,6
"183",6089,50
"184",6093,4
"185",6095,70
"186",6097,56
"187",6099,54
"188",6101,0
"189",6103,0
"190",6105,0
"191",6107,29
"192",6109,6
"193",6111,53
"194",6113,8
"195",6115,24
"196",8001,161
"197",8003,6
"198",8005,112
"199",8007,0
"200",8009,0
"201",8013,65
"202",8014,20
"203",8015,2
"204",8017,0
"205",8021,6
"206",8029,6
"207",8031,201
"208",8035,58
"209",8037,5
"210",8041,91
"211",8043,4
"212",8045,7
"213",8049,0
"214",8051,0
"215",8055,0
"216",8059,102
"217",8061,0
"218",8063,0
"219",8065,0
"220",8067,22
"221",8069,59
"222",8071,0
"223",8073,0
"224",8075,4
"225",8077,32
"226",8081,4
"227",8083,0
"228",8085,8
"229",8087,6
"230",8089,0
"231",8095,0
"232",8097,0
"233",8099,0
"234",8101,49
"235",8103,0
"236",8105,0
"237",8107,4
"238",8115,0
"239",8117,8
"240",8119,0
"241",8123,16
"242",8125,0
"243",9001,117
"244",9003,145
"245",9005,15
"246",9007,24
"247",9009,183
"248",9011,32
"249",9013,0
"250",9015,8
"251",10001,35
"252",10003,95
"253",10005,34
"254",11001,259
"255",12001,254
"256",12003,0
"257",12005,12
"258",12007,0
"259",12009,146
"260",12011,443
"261",12013,0
"262",12015,64
"263",12017,24
"264",12019,36
"265",12021,70
"266",12023,0
"267",12027,5
"268",12031,442
"269",12033,44
"270",12035,18
"271",12037,0
"272",12039,0
"273",12045,0
"274",12049,0
"275",12051,3
"276",12053,36
"277",12055,38
"278",12057,435
"279",12059,4
"280",12061,14
"281",12063,26
"282",12069,158
"283",12071,141
"284",12073,40
"285",12075,0
"286",12079,0
"287",12081,31
"288",12083,46
"289",12085,52
"290",12086,608
"291",12087,4
"292",12089,8
"293",12091,24
"294",12093,0
"295",12095,453
"296",12097,116
"297",12099,311
"298",12101,178
"299",12103,296
"300",12105,159
"301",12107,10
"302",12109,24
"303",12111,0
"304",12113,8
"305",12115,94
"306",12117,0
"307",12119,0
"308",12121,0
"309",12123,6
"310",12125,0
"311",12127,318
"312",12131,12
"313",12133,0
"314",13001,0
"315",13005,0
"316",13009,0
"317",13013,6
"318",13015,0
"319",13017,0
"320",13019,0
"321",13021,34
"322",13023,0
"323",13027,0
"324",13031,0
"325",13033,0
"326",13035,0
"327",13039,5
"328",13043,0
"329",13045,18
"330",13047,0
"331",13051,58
"332",13053,0
"333",13057,15
"334",13059,54
"335",13063,0
"336",13065,0
"337",13067,111
"338",13069,10
"339",13071,10
"340",13075,0
"341",13077,5
"342",13081,16
"343",13087,0
"344",13089,168
"345",13091,4
"346",13095,38
"347",13097,16
"348",13099,0
"349",13103,0
"350",13105,4
"351",13107,0
"352",13109,0
"353",13111,0
"354",13113,14
"355",13115,26
"356",13117,24
"357",13119,8
"358",13121,457
"359",13127,24
"360",13129,10
"361",13131,4
"362",13133,0
"363",13135,56
"364",13137,4
"365",13139,85
"366",13143,0
"367",13151,40
"368",13153,36
"369",13155,0
"370",13157,0
"371",13159,0
"372",13161,4
"373",13163,0
"374",13165,0
"375",13173,0
"376",13175,0
"377",13179,0
"378",13185,38
"379",13189,0
"380",13193,0
"381",13199,0
"382",13201,0
"383",13205,0
"384",13207,0
"385",13211,0
"386",13213,0
"387",13215,83
"388",13217,10
"389",13223,8
"390",13225,0
"391",13227,6
"392",13233,0
"393",13235,0
"394",13237,3
"395",13241,0
"396",13243,0
"397",13245,142
"398",13247,0
"399",13251,0
"400",13253,0
"401",13255,16
"402",13257,0
"403",13261,0
"404",13267,0
"405",13275,18
"406",13277,20
"407",13279,8
"408",13281,3
"409",13285,12
"410",13291,5
"411",13293,8
"412",13297,0
"413",13299,0
"414",13303,0
"415",13305,0
"416",13313,22
"417",13317,0
"418",13321,0
"419",15001,13
"420",15003,163
"421",15007,7
"422",15009,24
"423",16001,113
"424",16005,32
"425",16007,0
"426",16009,0
"427",16011,0
"428",16013,0
"429",16017,4
"430",16019,61
"431",16021,0
"432",16023,0
"433",16027,41
"434",16029,2
"435",16031,6
"436",16035,0
"437",16039,0
"438",16041,0
"439",16045,0
"440",16047,0
"441",16049,0
"442",16053,0
"443",16055,26
"444",16057,4
"445",16059,0
"446",16065,4
"447",16067,1
"448",16069,9
"449",16071,0
"450",16077,0
"451",16079,0
"452",16081,0
"453",16083,30
"454",16085,0
"455",16087,0
"456",17001,25
"457",17005,0
"458",17011,9
"459",17019,53
"460",17021,3
"461",17025,0
"462",17027,0
"463",17029,9
"464",17031,1419
"465",17033,0
"466",17037,16
"467",17039,0
"468",17043,245
"469",17045,0
"470",17049,10
"471",17051,0
"472",17053,3
"473",17055,0
"474",17057,5
"475",17061,0
"476",17063,12
"477",17065,0
"478",17067,0
"479",17069,0
"480",17073,7
"481",17075,6
"482",17077,21
"483",17081,16
"484",17083,4
"485",17085,0
"486",17089,81
"487",17091,57
"488",17095,6
"489",17097,83
"490",17099,13
"491",17101,0
"492",17103,6
"493",17105,5
"494",17107,0
"495",17109,7
"496",17111,31
"497",17113,26
"498",17115,46
"499",17117,0
"500",17119,113
"501",17121,12
"502",17125,0
"503",17127,0
"504",17131,0
"505",17135,4
"506",17137,9
"507",17141,4
"508",17143,99
"509",17145,0
"510",17147,0
"511",17149,4
"512",17157,0
"513",17159,8
"514",17161,26
"515",17163,34
"516",17165,0
"517",17167,84
"518",17169,0
"519",17173,0
"520",17177,8
