County,Hospitalized_4_4,ICU_4_4,bound_double_long,bound_double_short
Los Angeles,1007,449,4.391539,3.908117135
San Diego,177,86,4.799354,4.200735962
Santa Clara,159,72,11.34225,6.041336875
Orange,143,70,6.340033,4.725285034
San Bernardino,138,51,2.581272,3.376067413
Riverside,128,39,3.829003,4.701896398
San Francisco,80,37,9.975667,6.876254963
Sacramento,69,25,5.253471,4.843531346
San Mateo,66,25,5.969825,4.731359597
Alameda,60,35,8.062944,5.013038466
San Joaquin,43,16,10.1733,5.307314608
Kern,33,14,3.156442,3.716333589
Stanislaus,30,12,4.951335,3.759953871
Contra Costa,30,12,5.298419,4.907635216
Santa Barbara,28,18,5.163121,3.696194626
Placer,23,10,6.302062,4.242216738
Ventura,21,7,7.135978,3.910344605
Mono,20,0,7.8,6.04320302
Solano,16,7,6.804773,4.499588733
Monterey,16,4,6.169647,4.704930272
El Dorado,15,0,8.526316,4.732575433
Fresno,14,7,4.942907,3.72776071
Imperial,9,5,6.403827,3.772750679
Tulare,8,5,3.503846,3.710286446
Sonoma,7,2,9.378104,5.255949609
Merced,5,1,5.0625,3.654073262
Marin,5,3,10.66066,5.743211469
Yolo,4,3,10.58083,3.72113249
Santa Cruz,4,3,10.82966,5.006335669
San Luis Obispo,4,3,18.58602,4.26919476
Butte,3,1,10.368,3.910317585
Yuba,2,2,8.284931,4.175448822
Shasta,2,4,2.804722,4.354307745
San Benito,2,2,10.89153,4.576485084
Nevada,2,2,6.029448,4.975814706
Napa,1,0,10.01586,4.833990942
Humboldt,1,0,4.228714,4.284526783
