County,est_acute_beds_available,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29
Alameda,269,,,,,,,,,,,,,,,,,,,,,,"0 [0, 12]","0 [0, 41]","0 [0, 74]","0 [0, 109]","0 [0, 149]","0 [0, 192]","0 [0, 240]","0 [0, 293]","0 [0, 352]","0 [0, 416]"
Butte,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0 [0, 15]","0 [0, 38]","0 [0, 64]"
El Dorado,35,,,,,,,,,,,,,,,,,,,,,,,,,"0 [0, 2]","0 [0, 6]","0 [0, 10]","0 [0, 14]","0 [0, 20]","0 [0, 25]","0 [0, 32]"
Fresno,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial,14,,,"0 [0, 1]","0 [0, 2]","0 [0, 3]","0 [0, 5]","0 [0, 6]","0 [0, 8]","1 [0, 11]","2 [0, 13]","3 [0, 16]","4 [0, 19]","6 [0, 22]","7 [0, 26]","9 [0, 30]","10 [0, 35]","12 [0, 40]","14 [1, 46]","16 [2, 52]","18 [3, 59]","20 [3, 66]","23 [4, 75]","25 [5, 84]","28 [6, 94]","31 [7, 105]","34 [8, 118]","38 [10, 132]","41 [11, 147]","45 [12, 164]","50 [13, 182]","54 [15, 202]"
Kern,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings,0,"1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","2 [1, 2]","2 [1, 2]","2 [1, 2]","2 [1, 2]","2 [1, 3]","2 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 4]","2 [1, 5]","3 [2, 5]","3 [2, 6]","3 [2, 7]","3 [2, 7]","4 [2, 8]","4 [2, 9]","4 [2, 10]","4 [2, 11]","5 [2, 12]","5 [2, 13]","5 [2, 15]","6 [3, 16]","6 [3, 18]","7 [3, 20]","7 [3, 22]","8 [3, 24]"
Los Angeles,2690,,,,,,,,,,,,,,,,,,,,,,,"0 [0, 228]","0 [0, 531]","0 [0, 867]","0 [0, 1237]","0 [0, 1646]","0 [0, 2097]","0 [0, 2595]","0 [0, 3145]","0 [0, 3753]"
Madera,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0 [0, 10]","0 [0, 20]"
