County,est_floor_beds_available,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18
Alameda,269,,,,,,,,,,,,,,,"0 [0, 6]"
Butte,87,,,,,,,,,,,,,,,
Contra Costa,209,,,,,,,,,,,,,,,
El Dorado,35,,,,,,,,,,,"0 [0, 6]","0 [0, 12]","5 [0, 20]","10 [0, 29]","17 [0, 39]"
Fresno,258,,,,,,,,,,,,,,,
Humboldt,38,,,,,,,,,,,,,,,
Imperial,14,,,,,,"0 [0, 1]","0 [0, 4]","3 [0, 7]","6 [0, 11]","9 [1, 16]","13 [3, 23]","18 [5, 30]","23 [7, 39]","30 [10, 50]","37 [13, 62]"
Kern,202,,,,,,,,,,,,,"57 [108, 7]","117 [184, 49]","190 [279, 101]"
Los Angeles,2690,,,,,,,,,"0 [0, 37]","304 [42, 567]","854 [509, 1199]","1505 [1056, 1953]","2275 [1696, 2854]","3188 [2446, 3930]","4270 [3325, 5215]"
Marin,89,,,,,,,,,,,,,,,
Merced,49,,,,,,,,,,,,,,,
Mono,4,"10 [10, 10]","11 [11, 12]","13 [13, 14]","15 [14, 16]","17 [16, 18]","19 [18, 21]","22 [20, 24]","25 [22, 27]","28 [24, 31]","31 [27, 35]","35 [30, 40]","39 [33, 45]","44 [37, 51]","49 [40, 58]","55 [44, 66]"
Monterey,106,,,,,,,,,,,,,,,
Napa,47,,,,,,,,,,,,,,,
Nevada,0,"1 [1, 1]","1 [1, 1]","2 [2, 2]","2 [2, 2]","2 [2, 2]","2 [2, 2]","3 [2, 3]","3 [3, 3]","3 [3, 4]","4 [3, 4]","4 [4, 5]","5 [4, 6]","6 [5, 6]","6 [5, 7]","7 [6, 8]"
Orange,721,,,,,,,,,,,,,,,"0 [0, 2]"
Placer,44,,,,,,,,"0 [0, 1]","0 [0, 9]","6 [0, 18]","14 [0, 29]","23 [4, 42]","33 [9, 57]","45 [16, 75]","59 [22, 96]"
Riverside,475,,,,,,,,,,,,,"130 [250, 10]","240 [394, 87]","371 [567, 176]"
Sacramento,327,,,,,,,,,,,,,,,"0 [0, 7]"
San Benito,10,,,,,,,,,,,,,,,"0 [0, 1]"
San Bernardino,521,,,,,,,,,,"298 [525, 71]","526 [847, 206]","820 [1268, 372]","1197 [1819, 575]","1683 [2540, 825]","2308 [3483, 1132]"
San Diego,757,,,,,,,,,,,,,"0 [0, 77]","111 [0, 227]","258 [113, 403]"
San Francisco,231,,,,,,,,,,,,,,,
San Joaquin,51,,,,,,"0 [0, 3]","1 [0, 11]","7 [0, 20]","14 [0, 30]","21 [1, 41]","29 [5, 54]","39 [9, 68]","49 [13, 85]","61 [18, 104]","74 [23, 125]"
San Luis Obispo,49,,,,,,,,,,,,,,,
San Mateo,168,,,,,,,,,,,"0 [0, 15]","14 [0, 44]","40 [2, 77]","70 [23, 116]","104 [47, 161]"
Santa Barbara,51,,,,,,,"0 [0, 3]","4 [0, 14]","14 [0, 28]","26 [8, 44]","40 [16, 64]","57 [26, 87]","76 [37, 116]","100 [50, 150]","128 [64, 191]"
Santa Clara,395,,,,,,,,,,,,,"0 [0, 19]","0 [0, 69]","0 [0, 126]"
Santa Cruz,20,,,,,,,,,,,,,,,
Shasta,87,,,,,,,,,,,,,,,
Solano,94,,,,,,,,,,,,,,,
Sonoma,113,,,,,,,,,,,,,,,
Stanislaus,108,,,,,,,,,,,"0 [0, 16]","13 [0, 42]","35 [0, 72]","61 [13, 108]","92 [32, 152]"
Tulare,101,,,,,,,,,,,,,,,
Ventura,43,,,,,,,,"0 [0, 4]","0 [0, 13]","7 [0, 24]","15 [0, 37]","24 [0, 52]","36 [0, 71]","49 [5, 93]","64 [10, 119]"
Yolo,15,,,,,,,,,,,"0 [0, 2]","0 [0, 5]","0 [0, 9]","3 [0, 14]","6 [0, 20]"
Yuba,52,,,,,,,,,,,,,,,
