County,est_acute_beds_available,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29
Alameda,269,"39 [39, 39]","40 [39, 42]","41 [38, 46]","42 [37, 50]","43 [36, 55]","44 [34, 60]","44 [32, 65]","44 [29, 70]","47 [31, 78]","50 [32, 86]","54 [34, 95]","58 [35, 104]","62 [37, 115]","67 [39, 127]","71 [41, 141]","76 [43, 155]","82 [45, 171]","88 [48, 189]","94 [50, 209]","101 [53, 231]","108 [55, 255]","116 [58, 281]","124 [61, 310]","133 [64, 343]","143 [68, 378]","153 [71, 418]","164 [75, 461]","176 [78, 509]","188 [82, 562]","202 [87, 621]","216 [91, 685]"
Butte,87,"2 [2, 2]","3 [2, 3]","3 [2, 3]","3 [2, 3]","3 [2, 3]","3 [2, 4]","3 [2, 4]","3 [2, 4]","3 [2, 5]","3 [2, 5]","3 [2, 6]","4 [2, 7]","4 [2, 7]","4 [2, 8]","5 [3, 9]","5 [3, 10]","5 [3, 11]","6 [3, 12]","6 [3, 13]","6 [3, 15]","7 [4, 16]","7 [4, 18]","8 [4, 20]","8 [4, 22]","9 [4, 24]","10 [5, 27]","10 [5, 29]","11 [5, 32]","12 [5, 36]","13 [5, 39]","14 [6, 44]"
Contra Costa,209,"16 [16, 16]","16 [15, 17]","16 [15, 18]","17 [15, 20]","17 [14, 22]","17 [14, 24]","17 [13, 26]","17 [12, 28]","19 [12, 31]","20 [13, 34]","22 [13, 38]","23 [14, 42]","25 [15, 46]","26 [16, 51]","28 [16, 56]","30 [17, 62]","33 [18, 68]","35 [19, 75]","37 [20, 83]","40 [21, 92]","43 [22, 101]","46 [23, 112]","49 [24, 124]","53 [26, 136]","57 [27, 151]","61 [28, 166]","65 [30, 184]","70 [31, 203]","75 [33, 224]","80 [34, 247]","86 [36, 273]"
El Dorado,35,"4 [4, 4]","4 [4, 4]","4 [4, 4]","4 [4, 5]","4 [3, 5]","4 [3, 6]","4 [3, 6]","4 [3, 7]","5 [3, 8]","5 [3, 8]","5 [3, 9]","6 [3, 10]","6 [4, 11]","6 [4, 12]","7 [4, 14]","7 [4, 15]","8 [4, 17]","9 [5, 18]","9 [5, 20]","10 [5, 22]","11 [5, 25]","11 [6, 27]","12 [6, 30]","13 [6, 33]","14 [7, 37]","15 [7, 41]","16 [7, 45]","17 [8, 49]","18 [8, 55]","20 [8, 60]","21 [9, 67]"
Fresno,258,"7 [7, 7]","7 [7, 7]","7 [6, 8]","7 [6, 8]","7 [6, 9]","7 [6, 10]","7 [5, 11]","7 [5, 12]","8 [5, 13]","8 [5, 14]","9 [6, 16]","10 [6, 18]","10 [6, 19]","11 [7, 21]","12 [7, 24]","13 [7, 26]","14 [8, 29]","15 [8, 32]","16 [8, 35]","17 [9, 39]","18 [9, 43]","19 [10, 47]","21 [10, 52]","22 [11, 58]","24 [11, 64]","26 [12, 70]","28 [13, 78]","30 [13, 86]","32 [14, 95]","34 [15, 104]","36 [15, 115]"
Humboldt,38,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [0, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 6]","3 [1, 7]","3 [1, 8]","3 [1, 8]","3 [1, 9]","3 [1, 10]","4 [1, 11]"
Imperial,14,"12 [12, 12]","13 [12, 13]","13 [12, 15]","13 [12, 16]","14 [11, 17]","14 [11, 19]","14 [10, 20]","14 [9, 22]","15 [10, 25]","16 [10, 27]","17 [11, 30]","18 [11, 33]","20 [12, 36]","21 [12, 40]","23 [13, 44]","24 [14, 49]","26 [14, 54]","28 [15, 60]","30 [16, 66]","32 [17, 73]","34 [17, 80]","37 [18, 89]","39 [19, 98]","42 [20, 108]","45 [21, 119]","48 [22, 132]","52 [24, 146]","55 [25, 161]","59 [26, 178]","64 [27, 196]","68 [29, 216]"
Kern,202,"10 [10, 10]","10 [10, 11]","11 [10, 12]","11 [10, 13]","11 [9, 14]","11 [9, 15]","11 [8, 17]","11 [8, 18]","12 [8, 20]","13 [8, 22]","14 [9, 25]","15 [9, 27]","16 [10, 30]","17 [10, 33]","18 [11, 36]","20 [11, 40]","21 [12, 44]","23 [12, 49]","24 [13, 54]","26 [14, 60]","28 [14, 66]","30 [15, 73]","32 [16, 81]","35 [17, 89]","37 [18, 98]","40 [18, 108]","42 [19, 120]","46 [20, 132]","49 [21, 146]","52 [22, 161]","56 [24, 178]"
Kings,0,"1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","2 [1, 2]","2 [1, 2]","2 [1, 2]","2 [1, 2]","2 [1, 3]","2 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 4]","2 [1, 5]","3 [2, 5]","3 [2, 6]","3 [2, 7]","3 [2, 7]","4 [2, 8]","4 [2, 9]","4 [2, 10]","4 [2, 11]","5 [2, 12]","5 [2, 13]","5 [2, 15]","6 [3, 16]","6 [3, 18]","7 [3, 20]","7 [3, 22]","8 [3, 24]"
Los Angeles,2690,"366 [366, 366]","378 [364, 399]","388 [359, 435]","397 [350, 473]","405 [338, 515]","410 [322, 560]","413 [301, 608]","413 [274, 661]","442 [288, 729]","474 [302, 805]","508 [317, 889]","544 [334, 982]","583 [351, 1084]","625 [368, 1197]","670 [387, 1321]","718 [407, 1459]","770 [427, 1611]","825 [449, 1778]","884 [472, 1963]","948 [496, 2168]","1016 [521, 2393]","1089 [547, 2643]","1167 [575, 2918]","1251 [604, 3221]","1340 [635, 3557]","1437 [667, 3927]","1540 [701, 4336]","1650 [737, 4787]","1769 [774, 5285]","1896 [813, 5835]","2032 [855, 6443]"
Madera,22,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [0, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 6]","3 [1, 7]","3 [1, 8]","3 [1, 8]","3 [1, 9]","3 [1, 10]","4 [2, 11]"
Marin,89,"6 [6, 6]","6 [6, 7]","7 [6, 7]","7 [6, 8]","7 [6, 9]","7 [5, 9]","7 [5, 10]","7 [5, 11]","7 [5, 12]","8 [5, 14]","9 [5, 15]","9 [6, 17]","10 [6, 18]","11 [6, 20]","11 [7, 22]","12 [7, 25]","13 [7, 27]","14 [8, 30]","15 [8, 33]","16 [8, 37]","17 [9, 40]","18 [9, 45]","20 [10, 49]","21 [10, 54]","23 [11, 60]","24 [11, 66]","26 [12, 73]","28 [12, 81]","30 [13, 89]","32 [14, 99]","34 [14, 109]"
