County,est_floor_beds_available,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18
Alameda,269,"40 [40, 40]","44 [43, 46]","50 [47, 52]","56 [51, 60]","62 [56, 69]","70 [61, 79]","79 [66, 91]","88 [72, 104]","99 [79, 120]","112 [86, 138]","126 [94, 158]","142 [102, 181]","160 [111, 208]","180 [121, 239]","203 [132, 275]"
Butte,87,"2 [2, 2]","2 [2, 2]","2 [2, 3]","3 [2, 3]","3 [2, 4]","4 [3, 5]","4 [3, 5]","5 [3, 6]","5 [3, 8]","6 [3, 9]","7 [4, 11]","8 [4, 13]","10 [4, 16]","12 [4, 19]","13 [5, 22]"
Contra Costa,209,"19 [19, 19]","22 [22, 22]","25 [25, 26]","29 [29, 30]","33 [33, 34]","38 [37, 39]","44 [43, 45]","50 [48, 52]","58 [55, 60]","66 [63, 69]","76 [72, 80]","87 [82, 92]","99 [93, 106]","114 [106, 122]","131 [121, 140]"
El Dorado,35,"9 [9, 9]","11 [10, 11]","12 [11, 13]","13 [12, 15]","15 [13, 17]","17 [14, 20]","19 [15, 23]","22 [17, 26]","24 [18, 31]","28 [20, 35]","31 [21, 41]","35 [23, 47]","40 [25, 55]","45 [27, 64]","52 [30, 74]"
Fresno,258,"9 [9, 9]","11 [11, 11]","13 [12, 13]","15 [14, 16]","18 [16, 19]","21 [19, 23]","25 [21, 28]","29 [25, 34]","34 [28, 41]","41 [32, 49]","48 [37, 59]","57 [43, 71]","67 [49, 86]","80 [57, 103]","95 [65, 124]"
Humboldt,38,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","2 [2, 2]","2 [2, 2]","2 [2, 2]","3 [3, 3]","3 [3, 3]","4 [4, 4]","5 [5, 4]","5 [5, 5]","6 [6, 6]"
Imperial,14,"6 [6, 6]","7 [6, 7]","8 [7, 8]","9 [8, 10]","11 [9, 12]","12 [10, 15]","14 [11, 18]","17 [12, 21]","20 [14, 25]","23 [15, 30]","27 [17, 37]","32 [19, 44]","37 [21, 53]","44 [24, 64]","51 [27, 76]"
Kern,202,"22 [22, 22]","27 [28, 27]","33 [35, 32]","41 [43, 39]","50 [54, 47]","62 [67, 57]","76 [83, 68]","93 [103, 82]","114 [129, 99]","140 [160, 119]","172 [200, 144]","211 [249, 173]","259 [310, 209]","319 [386, 251]","392 [481, 303]"
Los Angeles,2690,"660 [660, 660]","780 [773, 788]","923 [905, 941]","1092 [1060, 1124]","1291 [1241, 1342]","1528 [1453, 1602]","1807 [1701, 1913]","2138 [1992, 2284]","2530 [2333, 2727]","2994 [2732, 3257]","3544 [3199, 3889]","4195 [3746, 4643]","4965 [4386, 5544]","5878 [5136, 6620]","6960 [6015, 7905]"
Marin,89,"3 [3, 3]","3 [3, 3]","4 [4, 4]","4 [4, 4]","5 [4, 5]","5 [4, 6]","5 [5, 6]","6 [5, 7]","7 [5, 8]","7 [6, 9]","8 [6, 10]","9 [6, 12]","10 [7, 13]","11 [7, 15]","12 [8, 17]"
