County,est_icu_beds_available,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29
Alameda,51,,,,,,,,,,,,,,,,,,"0 [0, 3]","0 [0, 8]","0 [0, 14]","0 [0, 21]","0 [0, 29]","0 [0, 37]","0 [0, 46]","0 [0, 56]","0 [0, 67]","0 [0, 79]","0 [0, 93]","3 [0, 108]","7 [0, 125]","12 [0, 143]"
Butte,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0 [0, 0]","0 [0, 2]"
Contra Costa,43,,,,,,,,,,,,,,,,,,,,,,,,,"0 [0, 2]","0 [0, 7]","0 [0, 12]","0 [0, 18]","0 [0, 25]","0 [0, 32]","0 [0, 39]"
El Dorado,8,,,,,,,,,,,,,,,,,,,,,"0 [0, 0]","0 [0, 1]","0 [0, 2]","0 [0, 3]","0 [0, 4]","0 [0, 5]","0 [0, 7]","0 [0, 8]","0 [0, 10]","0 [0, 12]","0 [0, 14]"
Imperial,2,"2 [2, 2]","2 [2, 2]","2 [2, 2]","2 [2, 3]","2 [2, 3]","2 [2, 4]","3 [2, 4]","3 [2, 5]","3 [1, 5]","3 [1, 6]","3 [1, 7]","4 [2, 8]","4 [2, 9]","4 [2, 10]","5 [2, 11]","5 [2, 13]","6 [2, 14]","7 [3, 16]","7 [3, 18]","8 [3, 20]","8 [3, 22]","9 [4, 25]","10 [4, 27]","11 [4, 30]","12 [5, 34]","13 [5, 38]","14 [5, 42]","15 [6, 46]","16 [6, 51]","18 [7, 57]","19 [7, 63]"
Kern,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0 [0, 3]","0 [0, 7]"
Los Angeles,548,,,,,,,,,,,,,,,,,,,"0 [0, 21]","0 [0, 80]","0 [0, 145]","0 [0, 218]","0 [0, 297]","0 [0, 385]","0 [0, 482]","0 [0, 590]","0 [0, 708]","0 [0, 839]","0 [0, 983]","14 [0, 1143]","54 [0, 1319]"
Madera,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]"
Marin,10,,,,,,,,,,,,,,,,,,"0 [0, 0]","0 [0, 1]","0 [0, 3]","0 [0, 4]","0 [0, 5]","0 [0, 7]","0 [0, 9]","0 [0, 11]","0 [0, 13]","0 [0, 15]","0 [0, 18]","0 [0, 21]","1 [0, 24]","2 [0, 27]"
Mendocino,3,,,,,,,,,,,,,,,,,,,,,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 2]","0 [0, 2]","0 [0, 3]","0 [0, 4]","0 [0, 4]"
