County,est_icu_beds_available,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29
Alameda,51,,,,,,,,,,,,"0 [0, 3]","0 [0, 9]","0 [0, 15]","0 [0, 22]","0 [0, 30]","0 [0, 38]","0 [0, 47]","0 [0, 58]","3 [0, 69]","7 [0, 81]","11 [0, 95]","15 [0, 110]","20 [0, 127]","25 [0, 146]","30 [0, 166]","36 [0, 189]","42 [0, 214]","49 [0, 241]","56 [0, 272]","64 [0, 305]"
Butte,13,,,,,,,,,,,,,,,,,,,,,,,,"0 [0, 1]","0 [0, 2]","0 [0, 4]","0 [0, 5]","0 [0, 7]","0 [0, 9]","0 [0, 12]","0 [0, 14]"
Contra Costa,43,,,,,,,,,,,,,,,,,,,"0 [0, 3]","0 [0, 8]","0 [0, 13]","0 [0, 19]","0 [0, 25]","0 [0, 32]","0 [0, 40]","0 [0, 49]","0 [0, 59]","0 [0, 69]","0 [0, 81]","2 [0, 94]","6 [0, 108]"
El Dorado,8,,,,,,,,,,,,,,,,"0 [0, 1]","0 [0, 2]","0 [0, 3]","0 [0, 4]","0 [0, 5]","0 [0, 7]","0 [0, 8]","0 [0, 10]","0 [0, 12]","0 [0, 14]","1 [0, 16]","2 [0, 18]","2 [0, 21]","3 [0, 24]","4 [0, 28]","5 [0, 31]"
Fresno,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial,2,"5 [5, 5]","5 [5, 5]","5 [5, 6]","6 [5, 7]","6 [5, 8]","6 [5, 8]","6 [5, 9]","7 [4, 10]","7 [4, 12]","7 [4, 13]","8 [4, 14]","8 [4, 16]","9 [5, 18]","10 [5, 20]","11 [5, 22]","12 [6, 25]","13 [6, 28]","14 [7, 31]","15 [7, 34]","16 [8, 38]","17 [8, 42]","19 [9, 47]","20 [9, 52]","22 [10, 58]","23 [10, 64]","25 [11, 71]","27 [11, 78]","29 [12, 87]","31 [13, 96]","34 [14, 106]","36 [14, 117]"
Kern,40,,,,,,,,,,,,,,,,,,,,,,,,"0 [0, 4]","0 [0, 8]","0 [0, 13]","0 [0, 19]","0 [0, 25]","0 [0, 31]","0 [0, 39]","0 [0, 47]"
Kings,0,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 6]","3 [1, 7]","3 [1, 8]","3 [1, 8]","3 [1, 9]","3 [1, 10]","4 [2, 11]"
Los Angeles,548,,,,,,,,,,,,,"0 [0, 29]","0 [0, 89]","0 [0, 155]","0 [0, 228]","0 [0, 309]","0 [0, 398]","0 [0, 497]","0 [0, 605]","5 [0, 726]","45 [0, 858]","87 [0, 1004]","133 [0, 1166]","182 [0, 1344]","234 [0, 1541]","290 [0, 1759]","351 [0, 1999]","415 [0, 2264]","484 [0, 2557]","558 [0, 2880]"
Madera,3,,,,,,,,,,,,,,,,,,,,,,,,,,"0 [0, 1]","0 [0, 1]","0 [0, 2]","0 [0, 2]","0 [0, 3]","0 [0, 3]"
Marin,10,,,,,,,,,,,,,"0 [0, 1]","0 [0, 3]","0 [0, 4]","0 [0, 5]","0 [0, 7]","0 [0, 9]","0 [0, 11]","0 [0, 13]","1 [0, 15]","2 [0, 18]","3 [0, 21]","3 [0, 24]","4 [0, 27]","5 [0, 31]","7 [0, 36]","8 [0, 40]","9 [0, 46]","10 [0, 51]","12 [0, 58]"
Mendocino,3,,,,,,,,,,,,,,,,,,"0 [0, 1]","0 [0, 1]","0 [0, 2]","0 [0, 2]","0 [0, 2]","0 [0, 3]","0 [0, 4]","0 [0, 4]","0 [0, 5]","0 [0, 6]","1 [0, 7]","1 [0, 8]","1 [0, 9]","1 [0, 10]"
Merced,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,13,,,,,,,,,,,,,,,"0 [0, 1]","0 [0, 3]","0 [0, 4]","0 [0, 6]","0 [0, 8]","0 [0, 10]","0 [0, 13]","0 [0, 15]","0 [0, 18]","1 [0, 21]","2 [0, 25]","3 [0, 29]","4 [0, 33]","5 [0, 38]","6 [0, 43]","8 [0, 49]","9 [0, 56]"
Napa,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,0,"10 [10, 10]","11 [10, 11]","11 [11, 12]","12 [11, 14]","12 [11, 15]","13 [10, 16]","13 [10, 18]","13 [10, 19]","14 [10, 21]","14 [9, 23]","15 [9, 25]","16 [10, 28]","17 [10, 31]","18 [11, 34]","20 [12, 38]","21 [12, 42]","23 [13, 46]","24 [13, 51]","26 [14, 56]","28 [15, 62]","30 [16, 69]","32 [16, 76]","34 [17, 84]","37 [18, 92]","39 [19, 102]","42 [20, 112]","45 [21, 124]","48 [22, 137]","52 [23, 151]","56 [24, 167]","60 [25, 185]"
Orange,132,,,,,,,,,,,,,,,,,"0 [0, 10]","0 [0, 25]","0 [0, 41]","0 [0, 59]","0 [0, 79]","0 [0, 101]","0 [0, 125]","0 [0, 152]","0 [0, 182]","0 [0, 215]","7 [0, 251]","17 [0, 290]","28 [0, 334]","39 [0, 383]","51 [0, 437]"
Placer,6,"1 [1, 1]","2 [1, 2]","2 [1, 3]","2 [1, 3]","2 [1, 4]","3 [1, 5]","3 [1, 6]","3 [1, 7]","4 [1, 9]","4 [0, 10]","4 [1, 12]","5 [1, 14]","6 [1, 16]","7 [2, 18]","8 [2, 20]","9 [2, 23]","10 [3, 26]","11 [3, 30]","12 [4, 33]","13 [4, 37]","15 [5, 42]","16 [5, 47]","18 [6, 52]","20 [7, 58]","21 [7, 65]","23 [8, 72]","25 [9, 81]","28 [9, 90]","30 [10, 100]","33 [11, 111]","36 [12, 123]"
Riverside,84,,,,,,,,,,,,,,,,"0 [0, 2]","0 [0, 11]","0 [0, 20]","0 [0, 31]","0 [0, 43]","0 [0, 57]","0 [0, 71]","0 [0, 87]","0 [0, 105]","0 [0, 125]","2 [0, 147]","9 [0, 171]","15 [0, 197]","22 [0, 226]","30 [0, 259]","38 [0, 294]"
Sacramento,71,,,,,,,,,,,,,,,,,,,"0 [0, 4]","0 [0, 12]","0 [0, 21]","0 [0, 30]","0 [0, 41]","0 [0, 53]","0 [0, 66]","0 [0, 80]","0 [0, 95]","0 [0, 113]","0 [0, 132]","3 [0, 153]","9 [0, 176]"
San Bernardino,111,,,,,,,,,,,,,,,,,,,"0 [0, 7]","0 [0, 19]","0 [0, 32]","0 [0, 47]","0 [0, 64]","0 [0, 82]","0 [0, 102]","0 [0, 124]","0 [0, 149]","0 [0, 176]","0 [0, 206]","5 [0, 239]","14 [0, 275]"
San Diego,152,,,,,,,,,,,,,,,"0 [0, 13]","0 [0, 30]","0 [0, 49]","0 [0, 69]","0 [0, 93]","0 [0, 118]","0 [0, 146]","0 [0, 177]","0 [0, 211]","7 [0, 249]","19 [0, 291]","31 [0, 337]","44 [0, 388]","58 [0, 444]","73 [0, 506]","90 [0, 575]","107 [0, 650]"
San Francisco,64,,,,,,,,,,,,,,,,,"0 [0, 3]","0 [0, 10]","0 [0, 18]","0 [0, 26]","0 [0, 36]","0 [0, 46]","0 [0, 57]","0 [0, 70]","0 [0, 84]","0 [0, 99]","2 [0, 116]","6 [0, 135]","11 [0, 156]","17 [0, 179]","23 [0, 204]"
San Joaquin,10,,,,,,"0 [0, 1]","0 [0, 2]","0 [0, 3]","0 [0, 4]","0 [0, 5]","0 [0, 7]","0 [0, 8]","1 [0, 10]","2 [0, 13]","3 [0, 15]","4 [0, 17]","5 [0, 20]","6 [0, 23]","7 [0, 27]","8 [0, 31]","10 [0, 35]","11 [1, 40]","12 [1, 45]","14 [2, 51]","16 [2, 57]","18 [3, 64]","20 [4, 72]","22 [4, 80]","24 [5, 90]","27 [6, 100]","29 [7, 111]"
San Luis Obispo,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,27,,,,,,"0 [0, 3]","0 [0, 6]","0 [0, 9]","0 [0, 12]","0 [0, 15]","0 [0, 20]","2 [0, 25]","4 [0, 30]","7 [0, 36]","9 [0, 43]","12 [0, 50]","14 [0, 58]","17 [0, 67]","21 [0, 76]","24 [0, 87]","28 [2, 99]","32 [3, 112]","36 [5, 127]","40 [6, 143]","45 [8, 160]","50 [10, 180]","56 [11, 201]","62 [13, 225]","68 [15, 251]","75 [18, 280]","82 [20, 312]"
Santa Barbara,14,,,,,,,,,,"0 [0, 2]","0 [0, 3]","0 [0, 5]","0 [0, 7]","0 [0, 9]","0 [0, 12]","0 [0, 15]","1 [0, 18]","3 [0, 21]","4 [0, 24]","5 [0, 28]","6 [0, 33]","8 [0, 38]","9 [0, 43]","11 [0, 49]","13 [0, 56]","15 [0, 63]","17 [0, 71]","19 [1, 80]","21 [2, 89]","24 [3, 100]","27 [3, 112]"
Santa Clara,80,,,,,,"0 [0, 2]","0 [0, 10]","0 [0, 18]","0 [0, 27]","0 [0, 37]","0 [0, 49]","1 [0, 62]","6 [0, 77]","13 [0, 93]","19 [0, 111]","26 [0, 131]","34 [0, 153]","42 [0, 177]","51 [0, 204]","60 [0, 234]","71 [0, 267]","81 [2, 303]","93 [7, 342]","105 [11, 386]","119 [16, 435]","133 [21, 489]","148 [26, 548]","165 [31, 613]","182 [37, 685]","201 [43, 765]","221 [49, 853]"
Santa Cruz,2,,,,,,,,,,,,,,,,,,,,,,"0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 2]","0 [0, 2]","0 [0, 3]","0 [0, 3]","0 [0, 4]","0 [0, 4]"
Shasta,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solano,21,,,,,,,,,,,,,,,,,"0 [0, 2]","0 [0, 5]","0 [0, 7]","0 [0, 10]","0 [0, 14]","0 [0, 17]","0 [0, 21]","0 [0, 26]","0 [0, 30]","0 [0, 36]","2 [0, 42]","3 [0, 48]","5 [0, 55]","7 [0, 63]","9 [0, 72]"
Sonoma,17,,,,,,,,,,,,,,,,,,,,,,"0 [0, 2]","0 [0, 4]","0 [0, 6]","0 [0, 8]","0 [0, 11]","0 [0, 14]","0 [0, 17]","0 [0, 21]","0 [0, 25]","0 [0, 29]"
Stanislaus,16,,,,,,,,,,,,,"0 [0, 2]","0 [0, 3]","0 [0, 5]","0 [0, 8]","0 [0, 10]","0 [0, 13]","0 [0, 16]","0 [0, 19]","1 [0, 23]","2 [0, 27]","3 [0, 31]","5 [0, 36]","6 [0, 41]","8 [0, 47]","9 [0, 54]","11 [0, 61]","13 [0, 69]","15 [0, 78]","18 [0, 88]"
Tulare,9,,,,,,,,,,,,,,,,,,,,"0 [0, 1]","0 [0, 2]","0 [0, 3]","0 [0, 5]","0 [0, 6]","0 [0, 8]","0 [0, 9]","0 [0, 11]","0 [0, 13]","0 [0, 16]","0 [0, 18]","1 [0, 21]"
Tuolumne,2,,,,,,,,,,,,,,,,,,,,,"0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 2]","0 [0, 2]","0 [0, 2]","0 [0, 3]","0 [0, 3]","0 [0, 4]","0 [0, 4]","0 [0, 5]"
Ventura,16,,,,,,,,"0 [0, 1]","0 [0, 2]","0 [0, 4]","0 [0, 6]","0 [0, 8]","0 [0, 11]","0 [0, 13]","1 [0, 16]","2 [0, 20]","3 [0, 24]","5 [0, 28]","6 [0, 32]","8 [0, 37]","10 [0, 43]","11 [0, 49]","13 [0, 56]","15 [0, 63]","18 [0, 71]","20 [1, 80]","23 [2, 90]","25 [3, 101]","28 [4, 114]","32 [5, 127]","35 [6, 142]"
Yolo,2,,,,,,,,,,,,,,,"0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 2]","0 [0, 2]","0 [0, 3]","0 [0, 3]","0 [0, 4]","0 [0, 4]","1 [0, 5]","1 [0, 6]","1 [0, 6]","1 [0, 7]","1 [0, 8]","2 [0, 9]","2 [0, 10]"
Yuba,7,,,,,,,,,,,,,,,,,,,,,,,"0 [0, 1]","0 [0, 2]","0 [0, 3]","0 [0, 4]","0 [0, 5]","0 [0, 6]","0 [0, 8]","0 [0, 9]","0 [0, 11]"
