County,est_icu_beds_available,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29
Alameda,51,"11 [11, 11]","11 [11, 12]","12 [11, 13]","12 [11, 14]","13 [11, 16]","13 [11, 17]","14 [11, 19]","14 [10, 20]","14 [10, 22]","15 [9, 24]","16 [10, 27]","17 [10, 30]","18 [11, 33]","19 [12, 36]","21 [12, 40]","22 [13, 44]","24 [13, 48]","25 [14, 54]","27 [15, 59]","29 [16, 65]","31 [16, 72]","34 [17, 80]","36 [18, 88]","39 [19, 97]","41 [20, 107]","44 [21, 118]","47 [22, 130]","51 [23, 144]","54 [24, 159]","58 [25, 176]","63 [27, 194]"
Butte,13,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","2 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","3 [1, 6]","3 [1, 7]","3 [1, 7]","3 [2, 8]","3 [2, 9]","4 [2, 10]","4 [2, 11]","4 [2, 12]","4 [2, 13]","5 [2, 15]"
Contra Costa,43,"5 [5, 5]","5 [5, 5]","5 [5, 6]","5 [5, 6]","5 [5, 7]","6 [5, 7]","6 [5, 8]","6 [4, 9]","6 [4, 9]","6 [4, 10]","7 [4, 11]","7 [4, 13]","8 [5, 14]","8 [5, 15]","9 [5, 17]","9 [5, 19]","10 [6, 21]","11 [6, 23]","12 [6, 25]","12 [7, 28]","13 [7, 31]","14 [7, 34]","15 [8, 37]","16 [8, 41]","18 [8, 45]","19 [9, 50]","20 [9, 55]","22 [10, 61]","23 [10, 68]","25 [11, 75]","27 [11, 82]"
El Dorado,8,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","1 [1, 2]","2 [1, 2]","2 [1, 2]","2 [1, 2]","2 [1, 3]","2 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 4]","2 [1, 5]","3 [1, 5]","3 [2, 6]","3 [2, 7]","3 [2, 7]","3 [2, 8]","4 [2, 9]","4 [2, 10]","4 [2, 11]","5 [2, 12]","5 [2, 13]","5 [2, 15]","6 [3, 16]","6 [3, 18]","6 [3, 20]","7 [3, 22]"
Fresno,66,"2 [2, 2]","2 [2, 2]","2 [2, 2]","2 [2, 2]","2 [2, 3]","2 [2, 3]","2 [2, 3]","2 [2, 3]","2 [2, 4]","3 [2, 4]","3 [2, 5]","3 [2, 5]","3 [2, 6]","3 [2, 6]","4 [2, 7]","4 [2, 8]","4 [2, 8]","4 [2, 9]","5 [3, 10]","5 [3, 11]","5 [3, 12]","6 [3, 14]","6 [3, 15]","7 [3, 17]","7 [3, 18]","8 [4, 20]","8 [4, 22]","9 [4, 25]","9 [4, 27]","10 [4, 30]","11 [5, 33]"
Humboldt,7,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 3]","1 [0, 3]","1 [0, 3]","1 [0, 4]"
Imperial,2,"4 [4, 4]","4 [4, 4]","4 [4, 4]","4 [4, 5]","4 [4, 5]","4 [4, 6]","5 [4, 6]","5 [4, 7]","5 [3, 7]","5 [3, 8]","5 [3, 9]","6 [4, 10]","6 [4, 11]","6 [4, 12]","7 [4, 13]","7 [4, 15]","8 [4, 16]","9 [5, 18]","9 [5, 20]","10 [5, 22]","10 [5, 24]","11 [6, 27]","12 [6, 29]","13 [6, 32]","14 [7, 36]","15 [7, 40]","16 [7, 44]","17 [8, 48]","18 [8, 53]","20 [9, 59]","21 [9, 65]"
Kern,40,"3 [3, 3]","3 [3, 3]","3 [3, 3]","3 [3, 3]","3 [3, 4]","3 [3, 4]","3 [3, 5]","3 [3, 5]","3 [2, 5]","4 [2, 6]","4 [2, 7]","4 [3, 7]","4 [3, 8]","5 [3, 9]","5 [3, 10]","5 [3, 11]","6 [3, 12]","6 [3, 13]","7 [4, 14]","7 [4, 16]","8 [4, 18]","8 [4, 19]","9 [4, 21]","9 [5, 24]","10 [5, 26]","11 [5, 29]","12 [5, 32]","12 [6, 35]","13 [6, 39]","14 [6, 43]","15 [7, 47]"
Kings,0,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 6]"
Los Angeles,548,"105 [105, 105]","110 [106, 115]","114 [107, 126]","119 [107, 137]","123 [107, 150]","127 [106, 164]","131 [104, 179]","135 [101, 196]","138 [97, 214]","141 [91, 233]","151 [96, 258]","161 [101, 284]","173 [106, 314]","185 [111, 347]","199 [117, 383]","213 [123, 423]","228 [129, 467]","245 [135, 515]","262 [142, 569]","281 [149, 628]","301 [157, 693]","323 [165, 766]","346 [173, 845]","371 [182, 933]","397 [191, 1030]","426 [201, 1138]","457 [211, 1256]","489 [222, 1387]","524 [233, 1531]","562 [245, 1691]","602 [258, 1867]"
Madera,3,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 3]","1 [0, 3]","1 [0, 3]","1 [0, 3]"
Marin,10,"2 [2, 2]","2 [2, 2]","2 [2, 3]","2 [2, 3]","2 [2, 3]","3 [2, 3]","3 [2, 4]","3 [2, 4]","3 [2, 4]","3 [2, 5]","3 [2, 5]","3 [2, 6]","3 [2, 6]","4 [2, 7]","4 [2, 8]","4 [2, 8]","5 [3, 9]","5 [3, 10]","5 [3, 11]","6 [3, 13]","6 [3, 14]","6 [3, 15]","7 [3, 17]","7 [4, 19]","8 [4, 21]","8 [4, 23]","9 [4, 25]","10 [4, 28]","10 [5, 31]","11 [5, 34]","12 [5, 37]"
Mendocino,3,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 4]","2 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 7]","2 [1, 7]"
Merced,7,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [0, 3]","1 [0, 3]","1 [0, 3]"
Monterey,13,"2 [2, 2]","2 [2, 2]","2 [2, 3]","2 [2, 3]","2 [2, 3]","3 [2, 3]","3 [2, 4]","3 [2, 4]","3 [2, 4]","3 [2, 5]","3 [2, 5]","3 [2, 6]","3 [2, 6]","4 [2, 7]","4 [2, 8]","4 [2, 8]","5 [3, 9]","5 [3, 10]","5 [3, 11]","6 [3, 13]","6 [3, 14]","6 [3, 15]","7 [3, 17]","7 [4, 19]","8 [4, 21]","9 [4, 23]","9 [4, 25]","10 [4, 28]","11 [5, 31]","11 [5, 34]","12 [5, 38]"
Napa,20,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 6]","3 [1, 7]","3 [1, 7]","3 [1, 8]","3 [1, 9]","3 [1, 10]","4 [2, 11]"
Nevada,0,"6 [6, 6]","6 [6, 6]","6 [6, 7]","6 [6, 7]","7 [6, 8]","7 [6, 9]","7 [6, 10]","7 [5, 11]","8 [5, 12]","8 [5, 13]","8 [5, 14]","9 [5, 16]","9 [6, 17]","10 [6, 19]","11 [6, 21]","12 [7, 23]","12 [7, 25]","13 [7, 28]","14 [8, 31]","15 [8, 34]","16 [9, 38]","18 [9, 42]","19 [9, 46]","20 [10, 51]","22 [10, 56]","23 [11, 62]","25 [12, 69]","27 [12, 76]","29 [13, 84]","31 [13, 92]","33 [14, 102]"
Orange,132,"17 [17, 17]","18 [18, 19]","19 [18, 21]","20 [18, 23]","20 [18, 25]","21 [18, 27]","22 [17, 30]","22 [17, 33]","23 [16, 36]","23 [15, 39]","25 [16, 43]","27 [17, 47]","29 [18, 52]","31 [18, 58]","33 [19, 64]","35 [20, 70]","38 [21, 78]","41 [22, 86]","44 [24, 94]","47 [25, 104]","50 [26, 115]","54 [27, 127]","57 [29, 140]","62 [30, 155]","66 [32, 171]","71 [33, 189]","76 [35, 209]","81 [37, 230]","87 [39, 254]","93 [41, 281]","100 [43, 310]"
Placer,6,"4 [4, 4]","4 [4, 4]","4 [4, 5]","4 [4, 5]","5 [4, 6]","5 [4, 6]","5 [4, 7]","5 [4, 7]","5 [4, 8]","5 [3, 9]","6 [4, 10]","6 [4, 11]","7 [4, 12]","7 [4, 13]","8 [4, 14]","8 [5, 16]","9 [5, 18]","9 [5, 20]","10 [5, 22]","11 [6, 24]","11 [6, 26]","12 [6, 29]","13 [7, 32]","14 [7, 35]","15 [7, 39]","16 [8, 43]","17 [8, 48]","19 [8, 52]","20 [9, 58]","21 [9, 64]","23 [10, 71]"
