County,est_icu_beds_available,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29
Alameda,51,"20 [20, 20]","21 [20, 22]","22 [20, 24]","23 [20, 26]","23 [20, 29]","24 [20, 31]","25 [20, 34]","26 [19, 37]","26 [18, 41]","27 [17, 45]","29 [18, 49]","31 [19, 54]","33 [20, 60]","35 [21, 66]","38 [22, 73]","41 [23, 81]","44 [25, 89]","47 [26, 98]","50 [27, 109]","54 [29, 120]","58 [30, 132]","62 [32, 146]","66 [33, 161]","71 [35, 178]","76 [37, 197]","81 [38, 217]","87 [40, 240]","93 [42, 265]","100 [45, 292]","107 [47, 323]","115 [49, 356]"
Butte,13,"2 [2, 2]","2 [2, 2]","2 [2, 2]","2 [2, 2]","2 [2, 2]","2 [2, 2]","2 [2, 3]","2 [1, 3]","2 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","3 [2, 5]","3 [2, 5]","3 [2, 6]","3 [2, 6]","3 [2, 7]","4 [2, 7]","4 [2, 8]","4 [2, 9]","4 [2, 10]","5 [2, 11]","5 [3, 12]","5 [3, 14]","6 [3, 15]","6 [3, 17]","7 [3, 18]","7 [3, 20]","8 [3, 22]","8 [4, 25]","9 [4, 27]"
Contra Costa,43,"8 [8, 8]","9 [9, 9]","9 [9, 10]","10 [9, 11]","10 [9, 12]","10 [9, 13]","11 [8, 14]","11 [8, 16]","11 [8, 17]","11 [7, 19]","12 [8, 21]","13 [8, 23]","14 [9, 25]","15 [9, 28]","16 [9, 31]","17 [10, 34]","18 [10, 38]","20 [11, 42]","21 [11, 46]","23 [12, 51]","24 [13, 56]","26 [13, 62]","28 [14, 68]","30 [15, 75]","32 [15, 83]","34 [16, 92]","37 [17, 102]","40 [18, 112]","42 [19, 124]","45 [20, 137]","49 [21, 151]"
El Dorado,8,"2 [2, 2]","2 [2, 2]","2 [2, 3]","3 [2, 3]","3 [2, 3]","3 [2, 3]","3 [2, 4]","3 [2, 4]","3 [2, 5]","3 [2, 5]","3 [2, 5]","3 [2, 6]","4 [2, 7]","4 [2, 7]","4 [2, 8]","4 [3, 9]","5 [3, 10]","5 [3, 11]","6 [3, 12]","6 [3, 13]","6 [3, 15]","7 [3, 16]","7 [4, 18]","8 [4, 20]","8 [4, 22]","9 [4, 24]","10 [4, 26]","10 [5, 29]","11 [5, 32]","12 [5, 36]","13 [5, 39]"
Fresno,66,"3 [3, 3]","4 [3, 4]","4 [4, 4]","4 [4, 5]","4 [3, 5]","4 [3, 5]","4 [3, 6]","4 [3, 6]","5 [3, 7]","5 [3, 8]","5 [3, 8]","5 [3, 9]","6 [3, 10]","6 [4, 11]","7 [4, 13]","7 [4, 14]","7 [4, 15]","8 [4, 17]","9 [5, 19]","9 [5, 21]","10 [5, 23]","11 [5, 25]","11 [6, 28]","12 [6, 31]","13 [6, 34]","14 [7, 37]","15 [7, 41]","16 [7, 45]","17 [8, 50]","18 [8, 55]","20 [8, 61]"
Humboldt,7,"0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 0]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","1 [0, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","1 [1, 4]","1 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 6]"
Imperial,2,"7 [7, 7]","7 [7, 7]","7 [7, 8]","8 [7, 9]","8 [7, 10]","8 [7, 10]","8 [7, 11]","9 [6, 12]","9 [6, 14]","9 [6, 15]","10 [6, 16]","10 [6, 18]","11 [7, 20]","12 [7, 22]","13 [7, 24]","14 [8, 27]","15 [8, 30]","16 [9, 33]","17 [9, 36]","18 [10, 40]","19 [10, 44]","21 [11, 49]","22 [11, 54]","24 [12, 60]","25 [12, 66]","27 [13, 73]","29 [13, 80]","31 [14, 89]","33 [15, 98]","36 [16, 108]","38 [16, 119]"
Kern,40,"5 [5, 5]","5 [5, 5]","5 [5, 6]","6 [5, 6]","6 [5, 7]","6 [5, 8]","6 [5, 8]","6 [5, 9]","6 [5, 10]","7 [4, 11]","7 [4, 12]","8 [5, 13]","8 [5, 15]","9 [5, 16]","9 [5, 18]","10 [6, 20]","11 [6, 22]","11 [6, 24]","12 [7, 27]","13 [7, 29]","14 [7, 32]","15 [8, 36]","16 [8, 39]","17 [8, 44]","19 [9, 48]","20 [9, 53]","21 [10, 59]","23 [10, 65]","24 [11, 71]","26 [11, 79]","28 [12, 87]"
Kings,0,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 2]","1 [1, 3]","1 [1, 3]","1 [1, 3]","2 [1, 3]","2 [1, 4]","2 [1, 4]","2 [1, 5]","2 [1, 5]","2 [1, 6]","2 [1, 6]","3 [1, 7]","3 [1, 8]","3 [1, 8]","3 [1, 9]","3 [1, 10]","4 [2, 11]"
Los Angeles,548,"193 [193, 193]","201 [195, 211]","210 [196, 231]","218 [197, 252]","226 [196, 276]","234 [194, 301]","241 [190, 329]","248 [185, 359]","253 [177, 393]","258 [167, 429]","277 [176, 473]","296 [185, 522]","318 [194, 577]","341 [204, 637]","365 [214, 703]","391 [225, 776]","419 [237, 857]","449 [249, 946]","482 [261, 1045]","516 [274, 1153]","553 [288, 1274]","593 [303, 1406]","635 [318, 1552]","681 [335, 1714]","730 [352, 1892]","782 [369, 2089]","838 [388, 2307]","899 [408, 2547]","963 [429, 2812]","1032 [450, 3105]","1106 [473, 3428]"
