County,est_icu_beds_available,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18
Alameda,51,"20 [20, 20]","23 [22, 23]","26 [24, 27]","29 [26, 31]","32 [29, 35]","36 [31, 41]","40 [34, 47]","45 [37, 54]","51 [41, 62]","57 [44, 71]","65 [48, 81]","73 [52, 93]","82 [57, 107]","93 [62, 123]","105 [68, 141]"
Butte,13,"1 [1, 1]","1 [1, 1]","1 [1, 2]","2 [1, 2]","2 [1, 2]","2 [2, 3]","3 [2, 3]","3 [2, 4]","3 [2, 5]","4 [2, 6]","4 [2, 7]","5 [2, 8]","6 [3, 10]","7 [3, 11]","8 [3, 14]"
Contra Costa,43,"11 [11, 11]","12 [12, 12]","14 [14, 14]","16 [16, 16]","18 [18, 19]","21 [20, 21]","24 [23, 25]","27 [26, 28]","31 [30, 33]","36 [34, 38]","41 [39, 44]","47 [45, 50]","54 [51, 58]","62 [58, 66]","71 [66, 77]"
El Dorado,8,"6 [6, 6]","6 [6, 6]","7 [7, 7]","8 [7, 9]","9 [8, 10]","10 [8, 12]","11 [9, 13]","13 [10, 15]","14 [11, 18]","16 [11, 21]","18 [12, 24]","21 [14, 28]","23 [15, 32]","27 [16, 37]","30 [17, 43]"
Fresno,66,"5 [5, 5]","6 [6, 6]","7 [6, 7]","8 [7, 8]","9 [8, 10]","11 [10, 12]","13 [11, 15]","15 [13, 18]","18 [15, 21]","21 [17, 26]","25 [20, 31]","30 [23, 37]","35 [26, 45]","42 [30, 54]","50 [34, 65]"
Humboldt,7,"0 [0, 0]","0 [0, 0]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","2 [2, 2]","2 [2, 2]","2 [2, 2]","3 [3, 3]","3 [3, 3]","4 [4, 3]"
Imperial,2,"3 [3, 3]","4 [4, 4]","4 [4, 5]","5 [4, 6]","6 [5, 7]","7 [5, 8]","8 [6, 10]","9 [7, 11]","11 [8, 14]","12 [8, 17]","15 [9, 20]","17 [10, 24]","20 [12, 29]","24 [13, 35]","28 [14, 42]"
Kern,40,"11 [11, 11]","13 [13, 13]","16 [17, 16]","20 [21, 19]","24 [26, 23]","30 [32, 27]","37 [40, 33]","45 [50, 40]","55 [62, 48]","68 [78, 58]","83 [97, 69]","102 [120, 84]","125 [150, 101]","154 [187, 122]","190 [233, 147]"
Los Angeles,548,"347 [347, 347]","410 [406, 414]","485 [476, 495]","574 [557, 591]","679 [652, 705]","803 [764, 842]","950 [895, 1006]","1124 [1048, 1201]","1330 [1227, 1434]","1574 [1436, 1712]","1863 [1682, 2045]","2206 [1970, 2441]","2611 [2306, 2915]","3091 [2701, 3481]","3659 [3162, 4156]"
Marin,10,"2 [2, 2]","2 [2, 2]","2 [2, 2]","3 [2, 3]","3 [2, 3]","3 [3, 3]","3 [3, 4]","4 [3, 4]","4 [3, 5]","5 [3, 6]","5 [4, 6]","6 [4, 7]","6 [4, 8]","7 [4, 9]","8 [5, 10]"
Merced,7,"2 [2, 2]","2 [2, 2]","2 [2, 2]","3 [3, 3]","3 [3, 4]","4 [3, 4]","5 [4, 5]","5 [4, 6]","6 [5, 8]","7 [6, 9]","9 [7, 11]","11 [8, 13]","12 [9, 16]","15 [10, 20]","18 [11, 24]"
Mono,1,"6 [6, 6]","7 [7, 7]","7 [7, 8]","8 [8, 8]","9 [9, 10]","10 [9, 11]","11 [10, 12]","12 [11, 13]","14 [12, 15]","15 [13, 17]","17 [15, 19]","19 [16, 21]","21 [18, 24]","23 [19, 27]","25 [21, 30]"
Monterey,13,"6 [6, 6]","6 [6, 7]","7 [7, 8]","8 [8, 9]","9 [9, 10]","11 [10, 12]","12 [11, 14]","14 [12, 16]","16 [14, 18]","18 [15, 21]","21 [17, 25]","24 [19, 28]","27 [22, 33]","31 [24, 38]","36 [27, 44]"
Napa,20,"0 [0, 0]","0 [0, 0]","0 [0, 1]","1 [0, 1]","1 [0, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","1 [1, 2]","2 [1, 2]","2 [1, 3]"
Nevada,0,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","2 [1, 2]","2 [2, 2]","2 [2, 2]","2 [2, 2]","3 [2, 3]","3 [3, 3]","3 [3, 4]","4 [3, 4]","4 [4, 5]","5 [4, 6]"
Orange,132,"50 [50, 50]","57 [56, 58]","65 [62, 67]","74 [70, 78]","84 [78, 90]","96 [87, 105]","109 [97, 121]","124 [108, 140]","141 [120, 162]","161 [134, 188]","184 [150, 218]","210 [167, 252]","239 [186, 292]","273 [208, 338]","312 [232, 391]"
Placer,6,"9 [9, 9]","10 [10, 10]","12 [11, 12]","13 [12, 14]","15 [14, 17]","17 [15, 20]","20 [17, 23]","23 [19, 27]","27 [21, 32]","31 [24, 38]","36 [26, 45]","41 [29, 53]","47 [33, 62]","55 [37, 73]","63 [41, 86]"
Riverside,84,"45 [45, 45]","53 [54, 53]","63 [65, 61]","74 [78, 71]","88 [94, 82]","103 [112, 95]","122 [134, 110]","144 [161, 127]","170 [193, 148]","201 [231, 171]","238 [277, 198]","281 [332, 230]","332 [398, 266]","393 [477, 308]","465 [572, 357]"
Sacramento,71,"24 [24, 24]","28 [27, 28]","32 [31, 32]","36 [36, 37]","42 [41, 42]","48 [46, 49]","55 [53, 57]","63 [60, 65]","72 [69, 75]","83 [79, 87]","95 [90, 100]","109 [102, 116]","125 [117, 134]","144 [133, 154]","165 [152, 178]"
San Benito,2,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","2 [1, 2]","2 [1, 3]","2 [1, 3]","2 [1, 4]","3 [1, 4]","3 [2, 5]","4 [2, 6]"
San Bernardino,111,"45 [45, 45]","57 [58, 55]","72 [76, 67]","91 [100, 83]","116 [131, 102]","148 [171, 125]","189 [224, 153]","241 [293, 188]","307 [383, 231]","392 [501, 284]","502 [655, 348]","643 [857, 428]","823 [1122, 525]","1056 [1467, 645]","1355 [1919, 792]"
San Diego,152,"62 [62, 62]","72 [71, 73]","84 [83, 86]","98 [95, 101]","115 [110, 120]","134 [127, 141]","157 [147, 166]","183 [170, 196]","214 [196, 232]","250 [227, 273]","292 [262, 322]","341 [303, 380]","399 [350, 448]","466 [404, 528]","545 [467, 623]"
San Francisco,64,"29 [29, 29]","31 [31, 32]","34 [33, 35]","37 [35, 39]","40 [38, 43]","44 [41, 48]","48 [44, 53]","52 [47, 58]","57 [50, 64]","62 [54, 71]","68 [57, 79]","74 [62, 87]","81 [66, 96]","89 [71, 106]","97 [76, 118]"
San Joaquin,10,"15 [15, 15]","16 [16, 17]","18 [17, 19]","20 [18, 22]","22 [19, 25]","24 [21, 28]","27 [22, 32]","30 [24, 37]","33 [25, 42]","37 [27, 47]","42 [29, 54]","46 [31, 62]","52 [33, 70]","58 [36, 80]","65 [38, 91]"
San Luis Obispo,8,"2 [2, 2]","2 [2, 2]","2 [2, 2]","2 [2, 2]","2 [2, 3]","3 [2, 3]","3 [2, 4]","3 [2, 5]","4 [2, 6]","4 [2, 7]","5 [2, 8]","6 [2, 9]","7 [2, 11]","8 [2, 13]","9 [3, 15]"
San Mateo,27,"24 [24, 24]","27 [27, 27]","31 [30, 32]","35 [34, 37]","40 [38, 43]","46 [42, 49]","52 [48, 57]","60 [54, 66]","68 [60, 77]","78 [68, 89]","89 [76, 103]","102 [85, 119]","117 [96, 138]","133 [107, 159]","153 [121, 185]"
Santa Barbara,14,"10 [10, 10]","12 [12, 13]","14 [14, 15]","17 [16, 18]","20 [18, 22]","24 [20, 27]","28 [23, 32]","33 [27, 39]","39 [31, 47]","46 [35, 56]","54 [40, 68]","64 [46, 82]","76 [52, 99]","90 [60, 120]","106 [68, 144]"
Santa Clara,80,"54 [54, 54]","60 [58, 61]","65 [62, 69]","71 [65, 77]","78 [70, 86]","85 [74, 97]","94 [79, 108]","103 [84, 122]","113 [89, 136]","124 [94, 153]","136 [100, 172]","150 [107, 192]","165 [113, 216]","181 [121, 242]","200 [128, 272]"
Santa Cruz,2,"1 [1, 1]","2 [1, 2]","2 [2, 2]","2 [2, 2]","2 [2, 2]","2 [2, 3]","3 [2, 3]","3 [2, 4]","3 [2, 4]","4 [2, 5]","4 [3, 6]","5 [3, 6]","5 [3, 7]","6 [3, 8]","7 [3, 10]"
Shasta,15,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [2, 1]","2 [2, 1]","2 [3, 2]","3 [3, 2]","3 [4, 2]","4 [6, 3]","5 [7, 3]","6 [9, 4]","8 [12, 4]","10 [15, 5]","13 [19, 6]","16 [25, 7]"
Solano,21,"6 [6, 6]","6 [6, 7]","7 [7, 8]","8 [8, 9]","9 [8, 10]","11 [9, 12]","12 [10, 14]","14 [11, 16]","16 [13, 19]","18 [14, 22]","21 [15, 26]","24 [17, 30]","27 [19, 35]","31 [21, 41]","36 [23, 48]"
Sonoma,17,"3 [3, 3]","3 [3, 3]","3 [3, 3]","4 [3, 4]","4 [3, 4]","4 [4, 5]","5 [4, 6]","5 [4, 7]","6 [5, 7]","7 [5, 8]","8 [5, 10]","8 [6, 11]","9 [6, 13]","11 [7, 14]","12 [7, 16]"
Stanislaus,16,"10 [10, 10]","12 [12, 12]","14 [14, 15]","17 [16, 18]","20 [18, 22]","23 [21, 26]","28 [24, 31]","33 [27, 38]","38 [32, 45]","45 [36, 54]","54 [42, 65]","63 [48, 78]","75 [55, 94]","89 [64, 113]","105 [73, 136]"
Tulare,9,"3 [3, 3]","3 [3, 3]","4 [4, 4]","5 [5, 5]","6 [6, 6]","7 [7, 7]","9 [9, 8]","10 [11, 10]","13 [13, 12]","15 [16, 15]","19 [20, 18]","22 [24, 21]","27 [29, 25]","33 [35, 31]","40 [43, 37]"
Ventura,16,"7 [7, 7]","9 [8, 9]","10 [9, 11]","11 [10, 13]","13 [11, 15]","15 [12, 18]","17 [13, 22]","20 [15, 26]","24 [16, 31]","27 [18, 37]","32 [20, 44]","37 [22, 52]","43 [24, 63]","51 [26, 75]","59 [29, 89]"
Yolo,2,"1 [1, 1]","2 [1, 2]","2 [2, 2]","2 [2, 2]","2 [2, 3]","3 [2, 4]","3 [2, 4]","4 [2, 5]","4 [2, 6]","5 [3, 7]","6 [3, 9]","7 [3, 11]","8 [3, 13]","9 [3, 16]","11 [3, 19]"
Yuba,7,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 2]","1 [1, 2]","2 [1, 2]","2 [1, 3]","2 [1, 3]","3 [2, 4]","3 [2, 4]","3 [2, 5]","4 [2, 6]","5 [2, 7]"
